Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1376344, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 1376350, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 0.147797 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:44564
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 0.299266 s
[server][session 0] migrated to 10.0.0.102:44749
[client] second 0.100434: 7077320.003819 bit/s, bytes received: 88849 B, packets received: 87
[client] second 0.200580: 11352448.327248 bit/s, bytes received: 142115 B, packets received: 116
[client] second 0.300966: 28166403.597060 bit/s, bytes received: 353439 B, packets received: 291
[client] second 0.401386: 47420763.316790 bit/s, bytes received: 595245 B, packets received: 491
[client] second 0.501483: 86451579.967585 bit/s, bytes received: 1081698 B, packets received: 892
[client] second 0.602503: 67372515.700699 bit/s, bytes received: 850748 B, packets received: 701
[client] second 0.702525: 62817638.743169 bit/s, bytes received: 785392 B, packets received: 639
[client] second 0.802546: 123825153.599738 bit/s, bytes received: 1548137 B, packets received: 1196
[client] second 0.903241: 33287302.567600 bit/s, bytes received: 418983 B, packets received: 345
[client] second 1.003315: 152322875.953924 bit/s, bytes received: 1905452 B, packets received: 1424
[client] second 1.103395: 93708736.710427 bit/s, bytes received: 1172286 B, packets received: 966
[client] second 1.203519: 94743328.412788 bit/s, bytes received: 1185773 B, packets received: 977
[client] second 1.303603: 94783897.526031 bit/s, bytes received: 1185786 B, packets received: 977
[client] second 1.403651: 94817268.988616 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 1.503675: 94643808.023823 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 1.603701: 94739106.972371 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 1.703722: 94744981.482811 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 1.803746: 94782410.717668 bit/s, bytes received: 1185068 B, packets received: 976
[client] second 1.903787: 94726392.412139 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.003810: 94741346.926681 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 2.103833: 94842142.199168 bit/s, bytes received: 1185790 B, packets received: 978
[client] second 2.203911: 94689503.519184 bit/s, bytes received: 1184549 B, packets received: 977
[client] second 2.304041: 94739700.169051 bit/s, bytes received: 1185790 B, packets received: 977
[client] second 2.404063: 94743159.878807 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 2.504133: 94796136.718247 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.604169: 94731003.957821 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.704188: 94746063.260223 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.804296: 94760026.005905 bit/s, bytes received: 1185780 B, packets received: 978
[client] second 2.904403: 94860277.516017 bit/s, bytes received: 1187013 B, packets received: 978
[client] second 3.004461: 94651433.761052 bit/s, bytes received: 1183841 B, packets received: 976
[client] second 3.104480: 94746765.197311 bit/s, bytes received: 1184556 B, packets received: 978
[client] second 3.204637: 94812441.284376 bit/s, bytes received: 1187010 B, packets received: 978
[client] second 3.304694: 94710069.065322 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.404706: 94752099.675565 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 3.504807: 94766933.925759 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.604835: 94836385.495040 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.704885: 94718159.247081 bit/s, bytes received: 1184563 B, packets received: 976
[client] second 3.804964: 94688889.495076 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 3.904979: 94750276.933488 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 4.005003: 94839321.855935 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 4.105047: 94723224.246911 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.205062: 94692866.767804 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 4.305085: 94743254.668657 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.405107: 94743509.471614 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.505217: 94757923.965805 bit/s, bytes received: 1185783 B, packets received: 978
[client] second 4.605336: 94846581.723536 bit/s, bytes received: 1186992 B, packets received: 977
[client] second 4.705409: 94696386.030200 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 4.805443: 94732104.356015 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.905505: 94706341.902634 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 5.005526: 94744252.158481 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 5.105539: 94850303.769492 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.205706: 94703844.131529 bit/s, bytes received: 1185774 B, packets received: 977
[client] second 5.305748: 94724306.474381 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.405834: 94725440.577072 bit/s, bytes received: 1185079 B, packets received: 978
[client] second 5.505847: 94751749.154984 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.605921: 94792757.830999 bit/s, bytes received: 1185783 B, packets received: 978
[client] second 5.705953: 94732961.465603 bit/s, bytes received: 1184545 B, packets received: 977
[client] second 5.805988: 94731904.443101 bit/s, bytes received: 1184558 B, packets received: 975
[client] second 5.906010: 94744001.976998 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 6.006046: 94729686.678998 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 6.106063: 94748065.845073 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.206143: 94786988.608652 bit/s, bytes received: 1185783 B, packets received: 980
[client] second 6.306169: 94740350.580111 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 6.406195: 94738700.666287 bit/s, bytes received: 1184547 B, packets received: 978
[client] second 6.506245: 94814923.441629 bit/s, bytes received: 1185783 B, packets received: 978
[client] second 6.606306: 94707925.382125 bit/s, bytes received: 1184565 B, packets received: 978
[client] second 6.706391: 94724749.584487 bit/s, bytes received: 1185070 B, packets received: 976
[client] second 6.806467: 94790500.637395 bit/s, bytes received: 1185783 B, packets received: 978
