Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1369748, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 1369760, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 0.148744 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:35994
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 0.300472 s
[server][session 0] migrated to 10.0.0.102:43840
[client] second 0.101054: 7228075.885099 bit/s, bytes received: 91303 B, packets received: 89
[client] second 0.201542: 11118607.851356 bit/s, bytes received: 139661 B, packets received: 115
[client] second 0.301561: 28073733.523171 bit/s, bytes received: 350986 B, packets received: 290
[client] second 0.402059: 47578845.961956 bit/s, bytes received: 597698 B, packets received: 492
[client] second 0.502136: 86076326.543113 bit/s, bytes received: 1076788 B, packets received: 887
[client] second 0.602919: 68115712.737052 bit/s, bytes received: 858112 B, packets received: 707
[client] second 0.702937: 60351565.083521 bit/s, bytes received: 754530 B, packets received: 617
[client] second 0.803046: 124376790.694132 bit/s, bytes received: 1556408 B, packets received: 1200
[client] second 0.903851: 37088967.500161 bit/s, bytes received: 467341 B, packets received: 385
[client] second 1.003868: 147993119.564170 bit/s, bytes received: 1850227 B, packets received: 1378
[client] second 1.103933: 93386173.064834 bit/s, bytes received: 1168096 B, packets received: 962
[client] second 1.203949: 94497178.163270 bit/s, bytes received: 1181394 B, packets received: 974
[client] second 1.304025: 94789446.456058 bit/s, bytes received: 1185773 B, packets received: 976
[client] second 1.404041: 94357818.273906 bit/s, bytes received: 1179658 B, packets received: 973
[client] second 1.504065: 94741064.745848 bit/s, bytes received: 1184556 B, packets received: 978
[client] second 1.604079: 94849441.700187 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 1.704170: 94679204.334240 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 1.804192: 94742459.957457 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 1.904217: 94741472.033517 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 2.004240: 94741909.559571 bit/s, bytes received: 1184549 B, packets received: 977
[client] second 2.104262: 94744309.944984 bit/s, bytes received: 1184563 B, packets received: 976
[client] second 2.204287: 94838421.607346 bit/s, bytes received: 1185776 B, packets received: 977
[client] second 2.304339: 94715156.135291 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.404402: 94704798.929810 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.504511: 94857335.916278 bit/s, bytes received: 1187003 B, packets received: 977
[client] second 2.604543: 94676918.518412 bit/s, bytes received: 1183848 B, packets received: 976
[client] second 2.704584: 94725712.554880 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.804602: 94845214.088815 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.904668: 94702283.562544 bit/s, bytes received: 1184546 B, packets received: 976
[client] second 3.004715: 94818070.501446 bit/s, bytes received: 1185793 B, packets received: 977
[client] second 3.104841: 94645836.711390 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.204959: 94847587.623228 bit/s, bytes received: 1187003 B, packets received: 978
[client] second 3.304987: 94738132.378004 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.405073: 94682719.577990 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.505096: 94841689.470796 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.605114: 94747214.215154 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.705180: 94701176.682401 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 3.805267: 94723246.929785 bit/s, bytes received: 1185075 B, packets received: 977
[client] second 3.905346: 94787723.961192 bit/s, bytes received: 1185774 B, packets received: 977
[client] second 4.005406: 94708458.268482 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 4.105529: 94744595.872040 bit/s, bytes received: 1185774 B, packets received: 978
[client] second 4.205587: 94808337.576570 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.305704: 94751183.235648 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 4.405768: 94704382.492958 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.505793: 94838534.889587 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.605846: 94714700.794703 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.705870: 94741700.305579 bit/s, bytes received: 1184556 B, packets received: 978
[client] second 4.805899: 94736926.712235 bit/s, bytes received: 1184556 B, packets received: 979
[client] second 4.905938: 94727023.912856 bit/s, bytes received: 1184547 B, packets received: 979
[client] second 5.005980: 94766376.919792 bit/s, bytes received: 1185079 B, packets received: 976
[client] second 5.106029: 94717129.809823 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 5.206052: 94743768.012238 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 5.306134: 94784107.934432 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 5.406193: 94708137.182109 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.506214: 94744832.764030 bit/s, bytes received: 1184556 B, packets received: 975
