Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1370615, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 1370616, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 0.148211 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:33969
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 0.299450 s
[server][session 0] migrated to 10.0.0.102:54333
[client] second 0.100535: 6679590.480491 bit/s, bytes received: 83941 B, packets received: 83
[client] second 0.201107: 10426087.642768 bit/s, bytes received: 131072 B, packets received: 108
[client] second 0.301153: 26201677.188812 bit/s, bytes received: 327670 B, packets received: 270
[client] second 0.401211: 48140028.586600 bit/s, bytes received: 602104 B, packets received: 497
[client] second 0.501221: 81089012.767459 bit/s, bytes received: 1013708 B, packets received: 834
[client] second 0.601513: 76749886.806239 bit/s, bytes received: 962181 B, packets received: 793
[client] second 0.701606: 41022426.751426 bit/s, bytes received: 513252 B, packets received: 417
[client] second 0.801670: 131869132.540379 bit/s, bytes received: 1649429 B, packets received: 1269
[client] second 0.901718: 94718185.545310 bit/s, bytes received: 1184543 B, packets received: 977
[client] second 1.001750: 94735661.326505 bit/s, bytes received: 1184576 B, packets received: 976
[client] second 1.101768: 94747005.764531 bit/s, bytes received: 1184549 B, packets received: 975
[client] second 1.201789: 94843324.918049 bit/s, bytes received: 1185788 B, packets received: 977
[client] second 1.301811: 94685898.957987 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 1.401893: 94785596.371557 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 1.501992: 94670533.695887 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 1.602064: 94696608.100076 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 1.702128: 94801113.403970 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 1.802172: 94821269.086597 bit/s, bytes received: 1185790 B, packets received: 977
[client] second 1.902197: 94739842.926653 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 2.002305: 94662990.475923 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 2.102388: 94783092.677795 bit/s, bytes received: 1185769 B, packets received: 976
[client] second 2.202415: 94739081.491671 bit/s, bytes received: 1184563 B, packets received: 976
[client] second 2.302445: 94835012.664111 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.402547: 94667519.633041 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.502615: 94741484.760712 bit/s, bytes received: 1185068 B, packets received: 977
[client] second 2.602629: 94848844.235606 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.702710: 94687630.572151 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.802750: 94725780.558974 bit/s, bytes received: 1184549 B, packets received: 979
[client] second 2.902760: 94755908.373110 bit/s, bytes received: 1184563 B, packets received: 979
[client] second 3.002843: 94783680.626407 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 3.102874: 94735372.556782 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.202896: 94743902.571800 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.302957: 94803610.821062 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 3.403005: 94720059.338221 bit/s, bytes received: 1184563 B, packets received: 976
[client] second 3.503024: 94746465.854447 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.603104: 94785336.665972 bit/s, bytes received: 1185770 B, packets received: 976
[client] second 3.703151: 94721222.673005 bit/s, bytes received: 1184569 B, packets received: 977
[client] second 3.803219: 94740791.725950 bit/s, bytes received: 1185068 B, packets received: 977
[client] second 3.903259: 94824167.654132 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 4.003302: 94723123.884112 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.103370: 94701480.109109 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 4.203394: 94839393.747197 bit/s, bytes received: 1185774 B, packets received: 977
[client] second 4.303467: 94694882.421161 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 4.403482: 94749541.883745 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 4.503521: 94728473.707144 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.603543: 94841813.686133 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.703566: 94643590.789956 bit/s, bytes received: 1183326 B, packets received: 975
[client] second 4.803583: 94748631.682340 bit/s, bytes received: 1184559 B, packets received: 977
[client] second 4.903605: 94743979.297760 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.003668: 94745733.013681 bit/s, bytes received: 1185070 B, packets received: 977
[client] second 5.103689: 94843172.490415 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.203702: 94653245.547193 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 5.303722: 94745715.611023 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.403768: 94818584.114316 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 5.503844: 94693279.507281 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 5.603858: 94750234.404039 bit/s, bytes received: 1184547 B, packets received: 975
[client] second 5.703931: 94794763.665169 bit/s, bytes received: 1185792 B, packets received: 979
[client] second 5.804019: 94778121.923501 bit/s, bytes received: 1185774 B, packets received: 977
[client] second 5.904110: 94678561.099374 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.004136: 94837310.851018 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.104157: 94646418.956734 bit/s, bytes received: 1183320 B, packets received: 976
[client] second 6.204174: 94848319.901913 bit/s, bytes received: 1185792 B, packets received: 977
[client] second 6.304219: 94663747.947135 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 6.404235: 94847105.940989 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.504258: 94742083.011407 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 6.604381: 94648384.963278 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 6.704430: 94815621.532006 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 6.804453: 94744044.602281 bit/s, bytes received: 1184565 B, packets received: 976
