Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[client_side_proxy] starting proxy with pid 1355096, port 18081, cc cubic
[server] starting server with pid 1355098, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148343 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:36133
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 0.297873 s
[server][session 0] migrated to 10.0.0.102:47321
[client] second 0.100671: 6963106.905211 bit/s, bytes received: 87622 B, packets received: 86
[client] second 0.201236: 10914809.682517 bit/s, bytes received: 137207 B, packets received: 113
[client] second 0.301307: 27372403.532260 bit/s, bytes received: 342396 B, packets received: 282
[client] second 0.401956: 48677723.940070 bit/s, bytes received: 612423 B, packets received: 505
[client] second 0.501970: 83343031.121265 bit/s, bytes received: 1041936 B, packets received: 859
[client] second 0.602233: 72032654.788610 bit/s, bytes received: 902771 B, packets received: 743
[client] second 0.702381: 50587775.656683 bit/s, bytes received: 633283 B, packets received: 516
[client] second 0.802445: 127513204.184357 bit/s, bytes received: 1594943 B, packets received: 1229
[client] second 0.902466: 94744422.723784 bit/s, bytes received: 1184554 B, packets received: 977
[client] second 1.002550: 94783560.745625 bit/s, bytes received: 1185782 B, packets received: 977
[client] second 1.102649: 94768302.182105 bit/s, bytes received: 1185786 B, packets received: 979
[client] second 1.202739: 94721196.861935 bit/s, bytes received: 1185068 B, packets received: 980
[client] second 1.302783: 94722267.021702 bit/s, bytes received: 1184556 B, packets received: 980
[client] second 1.402810: 94836384.965911 bit/s, bytes received: 1185773 B, packets received: 976
[client] second 1.502874: 94704137.114996 bit/s, bytes received: 1184566 B, packets received: 976
[client] second 1.602938: 94704087.203590 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 1.702958: 94843416.187973 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 1.802981: 94644177.341799 bit/s, bytes received: 1183322 B, packets received: 975
[client] second 1.903005: 94741765.661683 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.003085: 94787150.565418 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.103120: 94730976.495543 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.203198: 94789095.984099 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.303227: 94736688.045195 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.403246: 94746387.181052 bit/s, bytes received: 1184549 B, packets received: 977
[client] second 2.503301: 94753796.343443 bit/s, bytes received: 1185075 B, packets received: 976
[client] second 2.603381: 94786781.191145 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.703426: 94721223.658792 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.803515: 94777956.980943 bit/s, bytes received: 1185776 B, packets received: 978
[client] second 2.903560: 94722504.859193 bit/s, bytes received: 1184563 B, packets received: 980
[client] second 3.003678: 94750679.730827 bit/s, bytes received: 1185776 B, packets received: 978
[client] second 3.103787: 94759819.879306 bit/s, bytes received: 1185790 B, packets received: 981
[client] second 3.203799: 94752073.148294 bit/s, bytes received: 1184549 B, packets received: 978
[client] second 3.303819: 94745674.878450 bit/s, bytes received: 1184556 B, packets received: 980
[client] second 3.403851: 94832672.875371 bit/s, bytes received: 1185783 B, packets received: 978
[client] second 3.503902: 94715171.995277 bit/s, bytes received: 1184549 B, packets received: 979
[client] second 3.603948: 94721461.497209 bit/s, bytes received: 1184563 B, packets received: 977
[client] second 3.704006: 94750011.216005 bit/s, bytes received: 1185061 B, packets received: 977
[client] second 3.804082: 94791145.458691 bit/s, bytes received: 1185790 B, packets received: 976
[client] second 3.904117: 94730721.713495 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 4.004146: 94835463.200145 bit/s, bytes received: 1185792 B, packets received: 976
[client] second 4.104170: 94741548.791301 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 4.204192: 94744420.653662 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 4.304281: 94678956.059058 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 4.404365: 94783735.383805 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.504388: 94742154.958606 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.604441: 94714716.887747 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.704470: 94834866.660950 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.804530: 94707339.273922 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.904559: 94778147.509574 bit/s, bytes received: 1185070 B, packets received: 977
[client] second 5.004652: 94676330.655580 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.104776: 94744746.329871 bit/s, bytes received: 1185774 B, packets received: 978
[client] second 5.204798: 94841925.575035 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.304821: 94643998.213021 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 5.404846: 94839159.720836 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.504862: 94651144.995831 bit/s, bytes received: 1183326 B, packets received: 976
[client] second 5.604879: 94749083.465721 bit/s, bytes received: 1184568 B, packets received: 976
[client] second 5.704939: 94804957.389402 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 5.804995: 94711645.108776 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.905018: 94841127.187120 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 6.005038: 94745257.134780 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.105057: 94746339.865769 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.205092: 94673985.053901 bit/s, bytes received: 1183843 B, packets received: 977
[client] second 6.305135: 94724354.763322 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.405208: 94793195.452943 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.505259: 94716282.672399 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.605293: 94830155.930086 bit/s, bytes received: 1185783 B, packets received: 977
