Bandwidth: 100 Mbit/s
RTT: 1000 ms
BDP: 12500000 B/s
Max In-Flight Packets: 9765
[server] starting server with pid 1001666, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 1001669, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 2.004982 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:57985
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 4.012536 s
[client] second 0.100182: 3039458.003517 bit/s, bytes received: 38062 B, packets received: 47
[client] second 0.200820: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301588: 78040.285380 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.402183: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502542: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.602710: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:51817
[client] second 0.703129: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.803736: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.904337: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.004787: 977197.169748 bit/s, bytes received: 12270 B, packets received: 10
[client] second 1.105274: 683794.114321 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.205862: 740684.427445 bit/s, bytes received: 9313 B, packets received: 8
[client] second 1.305954: 686484.301807 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.406779: 681496.867125 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.506980: 783708.695414 bit/s, bytes received: 9816 B, packets received: 8
[client] second 1.607581: 390295.487202 bit/s, bytes received: 4908 B, packets received: 4
[client] second 1.708560: 388833.383390 bit/s, bytes received: 4908 B, packets received: 4
[client] second 1.808788: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.909016: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.009305: 978206.975650 bit/s, bytes received: 12263 B, packets received: 10
[client] second 2.109951: 877773.480629 bit/s, bytes received: 11043 B, packets received: 9
[client] second 2.210305: 921139.846587 bit/s, bytes received: 11555 B, packets received: 10
[client] second 2.311173: 1070470.627173 bit/s, bytes received: 13497 B, packets received: 11
[client] second 2.411465: 1076610.376344 bit/s, bytes received: 13497 B, packets received: 11
[client] second 2.512401: 1166360.948688 bit/s, bytes received: 14716 B, packets received: 12
[client] second 2.612562: 1315003.738184 bit/s, bytes received: 16464 B, packets received: 14
[client] second 2.712789: 1273191.688264 bit/s, bytes received: 15951 B, packets received: 13
[client] second 2.813715: 1361631.226759 bit/s, bytes received: 17178 B, packets received: 14
[client] second 2.913810: 686468.219020 bit/s, bytes received: 8589 B, packets received: 7
[client] second 3.014828: 1068882.644039 bit/s, bytes received: 13497 B, packets received: 11
[client] second 3.115769: 1498689.627342 bit/s, bytes received: 18910 B, packets received: 16
[client] second 3.216616: 1654223.007515 bit/s, bytes received: 20853 B, packets received: 17
[client] second 3.316633: 1766591.356638 bit/s, bytes received: 22086 B, packets received: 18
[client] second 3.416915: 1900557.766318 bit/s, bytes received: 23824 B, packets received: 20
[client] second 3.517412: 2050691.630798 bit/s, bytes received: 25761 B, packets received: 21
[client] second 3.617780: 2192324.528752 bit/s, bytes received: 27505 B, packets received: 23
[client] second 3.718219: 2345550.865839 bit/s, bytes received: 29448 B, packets received: 24
[client] second 3.818972: 2533070.527200 bit/s, bytes received: 31902 B, packets received: 26
[client] second 3.919721: 2670716.599740 bit/s, bytes received: 33634 B, packets received: 28
[client] second 4.020190: 2735103.251462 bit/s, bytes received: 34349 B, packets received: 28
[client] second 4.121288: 2952690.599150 bit/s, bytes received: 37314 B, packets received: 31
[client] second 4.222127: 3155682.529746 bit/s, bytes received: 39777 B, packets received: 33
[client] second 4.323144: 3303218.326368 bit/s, bytes received: 41710 B, packets received: 34
[client] second 4.423186: 3573306.107915 bit/s, bytes received: 44685 B, packets received: 37
[client] second 4.523726: 3945503.513505 bit/s, bytes received: 49585 B, packets received: 41
[client] second 4.624297: 4001061.296642 bit/s, bytes received: 50299 B, packets received: 41
[client] second 4.724799: 4435960.609636 bit/s, bytes received: 55728 B, packets received: 46
[client] second 4.825711: 4708590.462349 bit/s, bytes received: 59394 B, packets received: 49
[client] second 4.926425: 1307707.493167 bit/s, bytes received: 16463 B, packets received: 15
[client] second 5.026447: 980659.743822 bit/s, bytes received: 12261 B, packets received: 10
[client] second 5.126574: 5727096.863351 bit/s, bytes received: 71680 B, packets received: 59
[client] second 5.227353: 3741366.370519 bit/s, bytes received: 47131 B, packets received: 40
[client] second 5.327561: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.427749: 6016866.221764 bit/s, bytes received: 75352 B, packets received: 62
[client] second 5.528787: 4411794.237504 bit/s, bytes received: 55720 B, packets received: 47
[client] second 5.629065: 1173774.301662 bit/s, bytes received: 14713 B, packets received: 12
[client] second 5.730105: 8394910.935109 bit/s, bytes received: 106027 B, packets received: 87
[client] second 5.830948: 9035384.507051 bit/s, bytes received: 113894 B, packets received: 95
[client] second 5.931757: 9331313.530024 bit/s, bytes received: 117586 B, packets received: 96
[client] second 6.032024: 9477994.511462 bit/s, bytes received: 118791 B, packets received: 99
[client] second 6.132310: 9967338.694025 bit/s, bytes received: 124948 B, packets received: 102
[client] second 6.233003: 10413562.148809 bit/s, bytes received: 131072 B, packets received: 108
[client] second 6.333744: 10701019.815257 bit/s, bytes received: 134753 B, packets received: 112
[client] second 6.434066: 4443282.189636 bit/s, bytes received: 55720 B, packets received: 46
[client] second 6.534291: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.634515: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.734733: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.835473: 14110724.205787 bit/s, bytes received: 177689 B, packets received: 147
[client] second 6.936032: 6718858.245178 bit/s, bytes received: 84455 B, packets received: 70
[client] second 7.036529: 12289710.797158 bit/s, bytes received: 154385 B, packets received: 127
[client] second 7.136899: 17332721.794163 bit/s, bytes received: 217460 B, packets received: 179
[client] second 7.237513: 18697700.586230 bit/s, bytes received: 235157 B, packets received: 194
[client] second 7.338241: 20040236.456492 bit/s, bytes received: 252328 B, packets received: 208
[client] second 7.439074: 21187715.275378 bit/s, bytes received: 267052 B, packets received: 221
[client] second 7.539264: 21225720.798669 bit/s, bytes received: 265825 B, packets received: 219
[client] second 7.639575: 21297899.041397 bit/s, bytes received: 267052 B, packets received: 220
[client] second 7.740184: 13974834.777451 bit/s, bytes received: 175749 B, packets received: 145
[client] second 7.840409: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 7.940603: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 8.040787: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 8.141056: 15449745.184361 bit/s, bytes received: 193642 B, packets received: 160
[client] second 8.241698: 26282901.979478 bit/s, bytes received: 330646 B, packets received: 272
[client] second 8.341762: 10969584.660506 bit/s, bytes received: 137207 B, packets received: 115
[client] second 8.441774: 34102725.323192 bit/s, bytes received: 426338 B, packets received: 350
[client] second 8.541846: 36282166.188443 bit/s, bytes received: 453851 B, packets received: 374
[client] second 8.641873: 39143012.206628 bit/s, bytes received: 489420 B, packets received: 404
[client] second 8.742274: 41678150.156992 bit/s, bytes received: 523068 B, packets received: 431
[client] second 8.842735: 42182023.289139 bit/s, bytes received: 529701 B, packets received: 436
[client] second 8.942823: 42396283.252481 bit/s, bytes received: 530423 B, packets received: 437
[client] second 9.043007: 42258176.813397 bit/s, bytes received: 529196 B, packets received: 436
[client] second 9.143176: 4058093.826988 bit/s, bytes received: 50812 B, packets received: 43
[client] second 9.243389: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.343601: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.444059: 6293839.328295 bit/s, bytes received: 79033 B, packets received: 65
[client] second 9.544159: 55611419.441400 bit/s, bytes received: 695841 B, packets received: 573
[client] second 9.644341: 21856457.744507 bit/s, bytes received: 273702 B, packets received: 227
[client] second 9.744440: 59673732.664055 bit/s, bytes received: 746663 B, packets received: 616
[client] second 9.844460: 70596764.205995 bit/s, bytes received: 882633 B, packets received: 726
[client] second 9.944496: 75573541.811077 bit/s, bytes received: 945013 B, packets received: 780
[client] second 10.044524: 81172314.185624 bit/s, bytes received: 1014929 B, packets received: 836
[client] second 10.144580: 84134389.669925 bit/s, bytes received: 1052270 B, packets received: 867
[client] second 10.244618: 84540710.159679 bit/s, bytes received: 1057165 B, packets received: 870
[client] second 10.344655: 84190207.842781 bit/s, bytes received: 1052762 B, packets received: 869
[client] second 10.445578: 46656735.281555 bit/s, bytes received: 588597 B, packets received: 484
[client] second 10.545795: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.646024: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.746252: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.846400: 63018296.669448 bit/s, bytes received: 788886 B, packets received: 650
[client] second 10.946498: 94769127.511120 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 11.046792: 9769921.998181 bit/s, bytes received: 122483 B, packets received: 102
[client] second 11.147398: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 11.247841: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 11.348052: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 11.448100: 19155022.794581 bit/s, bytes received: 239553 B, packets received: 197
[client] second 11.548153: 94714587.196902 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 11.648211: 94808157.544186 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 11.748242: 94735428.433517 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 11.848311: 94837186.006409 bit/s, bytes received: 1186288 B, packets received: 977
[client] second 11.948383: 94696351.656764 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 12.048417: 94732288.073867 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 12.148453: 94827935.820328 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 12.249006: 74754131.097793 bit/s, bytes received: 939590 B, packets received: 774
