Bandwidth: 100 Mbit/s
RTT: 500 ms
BDP: 6250000 B/s
Max In-Flight Packets: 4882
[server] starting server with pid 163476, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 1.006257 s
[server][session 0][stream 0] open
[client] time to first byte: 1.507414 s
[client] second 1.000525: 955691.115596 bit/s, bytes received: 119524 B, packets received: 106
[client] second 2.000910: 3839447.869810 bit/s, bytes received: 480116 B, packets received: 396
[client] second 3.000987: 10264927.307897 bit/s, bytes received: 1283214 B, packets received: 1065
[client] second 4.001651: 22656985.318962 bit/s, bytes received: 2834006 B, packets received: 2348
[client] second 5.001683: 65072606.607258 bit/s, bytes received: 8134331 B, packets received: 6722
[client] second 6.001729: 58556474.658629 bit/s, bytes received: 7319895 B, packets received: 6053
[client] second 7.001805: 58896476.181506 bit/s, bytes received: 7362623 B, packets received: 6086
[client] second 8.001896: 59146808.692484 bit/s, bytes received: 7394020 B, packets received: 6098
[client] second 9.001975: 57333381.206863 bit/s, bytes received: 7167242 B, packets received: 5924
[client] second 10.001998: 58601113.302939 bit/s, bytes received: 7325308 B, packets received: 6054
[client] second 11.002033: 58606148.959562 bit/s, bytes received: 7326021 B, packets received: 6055
[client] second 12.002063: 58610496.219851 bit/s, bytes received: 7326532 B, packets received: 6054
[client] second 13.002089: 58620550.258905 bit/s, bytes received: 7327765 B, packets received: 6056
[client] second 14.002119: 58590960.161921 bit/s, bytes received: 7324090 B, packets received: 6054
[client] second 15.002197: 58617565.682819 bit/s, bytes received: 7327762 B, packets received: 6056
[client] second 16.002247: 58615124.364555 bit/s, bytes received: 7327257 B, packets received: 6054
[client] second 17.002307: 58618500.148864 bit/s, bytes received: 7327753 B, packets received: 6056
[client] second 18.003123: 62510273.246243 bit/s, bytes received: 7820157 B, packets received: 6462
[client] second 19.004020: 62858158.945432 bit/s, bytes received: 7864320 B, packets received: 6498
[client] second 20.004541: 62881791.229600 bit/s, bytes received: 7864320 B, packets received: 6498
[client] second 21.004791: 62898843.088684 bit/s, bytes received: 7864320 B, packets received: 6498
[client] second 22.005102: 62895015.311097 bit/s, bytes received: 7864320 B, packets received: 6498
[client] second 23.005492: 62890018.302378 bit/s, bytes received: 7864320 B, packets received: 6498
[client] second 24.005535: 59933131.729919 bit/s, bytes received: 7491963 B, packets received: 6190
[client] second 25.005622: 58636641.799054 bit/s, bytes received: 7330216 B, packets received: 6059
[client] second 26.005705: 58613077.089025 bit/s, bytes received: 7327248 B, packets received: 6054
[client] second 27.006659: 61820956.630173 bit/s, bytes received: 7734989 B, packets received: 6388
[client] second 28.007147: 62883886.434991 bit/s, bytes received: 7864320 B, packets received: 6493
[client] second 29.007222: 60798965.143673 bit/s, bytes received: 7600444 B, packets received: 6274
[client] second 30.007268: 58619393.118403 bit/s, bytes received: 7327762 B, packets received: 6055
[client] second 31.007289: 58611056.728635 bit/s, bytes received: 7326535 B, packets received: 6055
[client] second 32.007394: 58615948.242116 bit/s, bytes received: 7327762 B, packets received: 6056
[client] second 33.007422: 58591006.455772 bit/s, bytes received: 7324081 B, packets received: 6054
[client] second 34.007494: 58623580.802266 bit/s, bytes received: 7328475 B, packets received: 6055
[client] second 35.007559: 58608474.082910 bit/s, bytes received: 7326535 B, packets received: 6055
[client] second 36.007581: 58610954.864921 bit/s, bytes received: 7326535 B, packets received: 6055
[client] second 37.007672: 58616818.043017 bit/s, bytes received: 7327771 B, packets received: 6055
[client] second 38.007709: 58590487.885893 bit/s, bytes received: 7324081 B, packets received: 6053
[client] second 39.007766: 58624561.764120 bit/s, bytes received: 7328484 B, packets received: 6056
[client] second 40.007885: 71098351.320427 bit/s, bytes received: 8888356 B, packets received: 7332
[client] total: bytes received: 275354773 B, packets received: 227528
