Bandwidth: 100 Mbit/s
RTT: 220 ms
BDP: 2750000 B/s
Max In-Flight Packets: 2148
[client_side_proxy] starting proxy with pid 1239258, port 18081, cc cubic
[server] starting server with pid 1239265, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.445292 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:56688
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 0.892604 s
[client] second 0.100770: 3021636.814216 bit/s, bytes received: 38061 B, packets received: 45
[server][session 0] migrated to 10.0.0.102:33100
[client] second 0.201005: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301171: 3566303.922784 bit/s, bytes received: 44653 B, packets received: 37
[client] second 0.401240: 1275201.717569 bit/s, bytes received: 15951 B, packets received: 13
[client] second 0.501815: 3553729.961822 bit/s, bytes received: 44677 B, packets received: 37
[client] second 0.602822: 5287764.503563 bit/s, bytes received: 66763 B, packets received: 55
[client] second 0.702839: 5045223.472411 bit/s, bytes received: 63076 B, packets received: 52
[client] second 0.803629: 8610366.566236 bit/s, bytes received: 108480 B, packets received: 89
[client] second 0.904183: 11347277.924653 bit/s, bytes received: 142627 B, packets received: 118
[client] second 1.004629: 15032239.818149 bit/s, bytes received: 188741 B, packets received: 156
[client] second 1.105686: 16186989.794527 bit/s, bytes received: 204475 B, packets received: 168
[client] second 1.205728: 13914630.280306 bit/s, bytes received: 174007 B, packets received: 146
[client] second 1.305790: 27572416.514320 bit/s, bytes received: 344868 B, packets received: 284
[client] second 1.406341: 44486982.238581 bit/s, bytes received: 559149 B, packets received: 461
[client] second 1.506373: 11659008.956648 bit/s, bytes received: 145785 B, packets received: 121
[client] second 1.606424: 61411534.727651 bit/s, bytes received: 768031 B, packets received: 633
[client] second 1.706508: 93018452.393133 bit/s, bytes received: 1163704 B, packets received: 960
[client] second 1.806560: 16995849.186476 bit/s, bytes received: 212559 B, packets received: 176
[client] second 1.906641: 90135081.180231 bit/s, bytes received: 1127602 B, packets received: 929
[client] second 2.006693: 94812745.740681 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.107106: 74899378.324930 bit/s, bytes received: 940102 B, packets received: 775
[client] second 2.207419: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.307604: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.407786: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.508049: 195804.853096 bit/s, bytes received: 2454 B, packets received: 2
[client] second 2.608265: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.708277: 420765367.502183 bit/s, bytes received: 5260167 B, packets received: 3777
[client] second 2.808414: 138989040.141197 bit/s, bytes received: 1739741 B, packets received: 1247
[client] second 2.908567: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.008598: 58550828.935676 bit/s, bytes received: 732113 B, packets received: 604
[client] second 3.108665: 94799084.797570 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.208689: 94741979.727235 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.309474: 3311423.601787 bit/s, bytes received: 41718 B, packets received: 34
[client] second 3.409683: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.509719: 5437220.145029 bit/s, bytes received: 67990 B, packets received: 53
[client] second 3.609865: 365685969.295590 bit/s, bytes received: 4577704 B, packets received: 3360
[client] second 3.709986: 88432162.284024 bit/s, bytes received: 1106750 B, packets received: 912
[client] second 3.810052: 93425889.292810 bit/s, bytes received: 1168598 B, packets received: 964
[client] second 3.910069: 94748366.145370 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.010095: 94347570.974318 bit/s, bytes received: 1179648 B, packets received: 973
[client] second 4.110115: 94843381.056797 bit/s, bytes received: 1185780 B, packets received: 976
[client] second 4.210150: 94437466.836368 bit/s, bytes received: 1180873 B, packets received: 974
[client] second 4.310178: 94737745.848708 bit/s, bytes received: 1184558 B, packets received: 976
[client] second 4.410238: 94708055.781607 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.510258: 94745778.423977 bit/s, bytes received: 1184559 B, packets received: 976
[client] second 4.610339: 94687196.858130 bit/s, bytes received: 1184549 B, packets received: 975
[client] second 4.710356: 94691289.856359 bit/s, bytes received: 1183848 B, packets received: 977
[client] second 4.810374: 94747123.274487 bit/s, bytes received: 1184556 B, packets received: 978
[client] second 4.910398: 94839659.402130 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 5.010453: 94712977.923994 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.110558: 94762756.264387 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 5.210625: 94701229.049118 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.310635: 94754679.659048 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 5.410712: 94790285.221220 bit/s, bytes received: 1185792 B, packets received: 976
[client] second 5.510762: 94715956.856574 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 5.610775: 94752011.582796 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.710844: 94797253.594333 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 5.810915: 94697881.820652 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.910976: 94845694.517360 bit/s, bytes received: 1186297 B, packets received: 978
[client] second 6.011009: 94635784.817671 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 6.111042: 94831007.220921 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 6.211120: 94690591.038001 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 6.311146: 94739247.167188 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 6.411159: 94753072.554244 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 6.511220: 94803254.797899 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 6.611273: 94714020.158620 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 6.711301: 94738136.166476 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.811385: 94783445.587708 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.911522: 94536963.182538 bit/s, bytes received: 1183329 B, packets received: 977
[client] second 7.011549: 94934667.334123 bit/s, bytes received: 1187010 B, packets received: 978
[client] second 7.111625: 94831537.249546 bit/s, bytes received: 1186297 B, packets received: 979
[client] second 7.211733: 94662796.064352 bit/s, bytes received: 1184556 B, packets received: 979
[client] second 7.311851: 94749555.271283 bit/s, bytes received: 1185771 B, packets received: 980
[client] second 7.411890: 94826989.196011 bit/s, bytes received: 1185795 B, packets received: 976
[client] second 7.511982: 94676289.522873 bit/s, bytes received: 1184547 B, packets received: 976
