Bandwidth: 100 Mbit/s
RTT: 220 ms
BDP: 2750000 B/s
Max In-Flight Packets: 2148
[server] starting server with pid 138639, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.444454 s
[server][session 0][stream 0] open
[client] time to first byte: 0.665210 s
[client] second 1.000373: 6950581.730242 bit/s, bytes received: 869146 B, packets received: 724
[client] second 2.000412: 51804341.214496 bit/s, bytes received: 6475794 B, packets received: 5355
[client] second 3.000526: 59155245.434485 bit/s, bytes received: 7395247 B, packets received: 6135
[client] second 4.000575: 92230843.615966 bit/s, bytes received: 11529421 B, packets received: 9507
[client] second 5.000654: 94603889.634180 bit/s, bytes received: 11826433 B, packets received: 9745
[client] second 6.000733: 94731698.003462 bit/s, bytes received: 11842391 B, packets received: 9758
[client] second 7.000753: 94742826.950564 bit/s, bytes received: 11843097 B, packets received: 9758
[client] second 8.000848: 94749796.277557 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 9.000934: 94750537.735404 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 10.000983: 94749991.319421 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 11.001064: 94751061.663619 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 12.001155: 94750055.499184 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 13.001233: 94751398.371869 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 14.001291: 94749003.239286 bit/s, bytes received: 11844315 B, packets received: 9759
[client] second 15.001326: 94755446.956882 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 16.001406: 94751200.925740 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 17.001445: 94745193.884890 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 18.001488: 94750508.347841 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 19.001565: 94751413.636732 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 20.001609: 94754597.227508 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 21.001733: 94746997.913661 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 22.001773: 94750724.749169 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 23.001850: 94751424.816540 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 24.001995: 94754881.726653 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 25.002041: 94750173.335798 bit/s, bytes received: 11844315 B, packets received: 9759
[client] second 26.002130: 94750299.827678 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 27.002224: 94749928.630664 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 28.002277: 94753649.745569 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 29.002391: 94743844.826706 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 30.002438: 94754183.183166 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 31.002463: 94746583.099873 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 32.002552: 94750339.524519 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 33.002590: 94760837.127375 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 34.002673: 94741003.650513 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 35.002752: 94751234.760164 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 36.002835: 94750812.204851 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 37.002873: 94751042.341701 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 38.002969: 94749623.859297 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 39.003060: 94750102.859835 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 40.003101: 94750717.748447 bit/s, bytes received: 11844315 B, packets received: 9759
[client] total: bytes received: 452656629 B, packets received: 373054
