Bandwidth: 100 Mbit/s
RTT: 220 ms
BDP: 2750000 B/s
Max In-Flight Packets: 2148
[server] starting server with pid 139806, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.445680 s
[server][session 0][stream 0] open
[client] time to first byte: 0.666604 s
[client] second 1.000052: 6913551.263701 bit/s, bytes received: 864238 B, packets received: 721
[client] second 2.000105: 51632674.244171 bit/s, bytes received: 6454430 B, packets received: 5336
[client] second 3.000155: 59133619.656858 bit/s, bytes received: 7392071 B, packets received: 6129
[client] second 4.000185: 90551836.708861 bit/s, bytes received: 11319316 B, packets received: 9336
[client] second 5.000217: 94673084.970491 bit/s, bytes received: 11834517 B, packets received: 9751
[client] second 6.000264: 94744473.482019 bit/s, bytes received: 11843618 B, packets received: 9758
[client] second 7.000325: 94752946.810952 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 8.000406: 94746907.173106 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 9.000475: 94752114.179963 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 10.000586: 94748268.046764 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 11.000677: 94750045.740820 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 12.000735: 94749153.872313 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 13.000815: 94751155.354077 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 14.000963: 94754564.818488 bit/s, bytes received: 11846074 B, packets received: 9761
[client] second 15.000984: 94746919.538000 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 16.001025: 94750711.389864 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 17.001062: 94755147.081289 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 18.001088: 94746414.360614 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 19.001179: 94750237.298115 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 20.001230: 94749748.961332 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 21.001311: 94751022.345116 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 22.001391: 94751146.637673 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 23.001424: 94751451.747386 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 24.001520: 94749672.555962 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 25.001606: 94750503.154451 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 26.001648: 94754733.871406 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 27.001688: 94750824.233474 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 28.001713: 94746547.089685 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 29.001799: 94750579.895779 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 30.001855: 94753481.554465 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 31.001940: 94746413.402123 bit/s, bytes received: 11844315 B, packets received: 9760
[client] second 32.001971: 94755960.027850 bit/s, bytes received: 11844856 B, packets received: 9759
[client] second 33.002003: 94745875.933858 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 34.002096: 94749912.534616 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 35.002132: 94760956.805953 bit/s, bytes received: 11845551 B, packets received: 9760
[client] second 36.002201: 94742299.431013 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 37.002291: 94750275.110276 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 38.002323: 94751546.495793 bit/s, bytes received: 11844324 B, packets received: 9758
[client] second 39.002407: 94750888.830587 bit/s, bytes received: 11844856 B, packets received: 9761
[client] second 40.002500: 94749899.176119 bit/s, bytes received: 11844838 B, packets received: 9759
[client] total: bytes received: 452425683 B, packets received: 372860
