Bandwidth: 100 Mbit/s
RTT: 220 ms
BDP: 2750000 B/s
Max In-Flight Packets: 2148
[server] starting server with pid 145874, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.445139 s
[server][session 0][stream 0] open
[client] time to first byte: 0.665954 s
[client] second 1.000066: 6913452.357984 bit/s, bytes received: 864238 B, packets received: 720
[client] second 2.000090: 51486960.193999 bit/s, bytes received: 6436025 B, packets received: 5322
[client] second 3.000125: 59173766.717194 bit/s, bytes received: 7396979 B, packets received: 6134
[client] second 4.000176: 88698216.734263 bit/s, bytes received: 11087847 B, packets received: 9146
[client] second 5.000288: 94669668.095746 bit/s, bytes received: 11835029 B, packets received: 9751
[client] second 6.000349: 94748772.340905 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 7.000397: 94754229.028812 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 8.000428: 94746061.346006 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 9.000463: 94761056.964743 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 10.000589: 94746772.917874 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 11.000622: 94745723.504862 bit/s, bytes received: 11843609 B, packets received: 9760
[client] second 12.000726: 94748787.863563 bit/s, bytes received: 11844840 B, packets received: 9760
[client] second 13.000770: 94750515.832809 bit/s, bytes received: 11844324 B, packets received: 9758
[client] second 14.000850: 94751175.060737 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 15.000896: 94754320.001876 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 16.000919: 94746747.284464 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 17.000965: 94750244.195545 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 18.001054: 94750255.214493 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 19.001142: 94760242.011755 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 20.001282: 94745506.519415 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 21.001369: 94746366.594184 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 22.001419: 94753905.946465 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 23.001446: 94756179.411112 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 24.001513: 94752376.424496 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 25.001563: 94740091.481437 bit/s, bytes received: 11843097 B, packets received: 9759
[client] second 26.001647: 94750751.379935 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 27.001738: 94750144.735565 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 28.001843: 94754493.742565 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 29.001957: 94757652.150117 bit/s, bytes received: 11846065 B, packets received: 9761
[client] second 30.002012: 94743793.905150 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 31.002041: 94746192.565568 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 32.002073: 94761280.214424 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 33.002118: 94744750.490736 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 34.002138: 94746997.513159 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 35.002218: 94751059.579264 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 36.002480: 94749467.006515 bit/s, bytes received: 11846778 B, packets received: 9762
[client] second 37.002560: 94751106.950996 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 38.002640: 94751120.309833 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 39.002726: 94750649.236815 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 40.002761: 94751209.855564 bit/s, bytes received: 11844324 B, packets received: 9760
[client] total: bytes received: 452184389 B, packets received: 372663
