Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 121965, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.147907 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220599 s
[client] second 1.000057: 47183257.212879 bit/s, bytes received: 5898240 B, packets received: 6762
[client] second 2.000109: 112633423.405937 bit/s, bytes received: 14079912 B, packets received: 9772
[client] second 3.000158: 94754028.456851 bit/s, bytes received: 11844831 B, packets received: 9760
[client] second 4.000192: 94755499.950704 bit/s, bytes received: 11844843 B, packets received: 9759
[client] second 5.000317: 94746950.822562 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 6.000362: 94750373.997601 bit/s, bytes received: 11844324 B, packets received: 9758
[client] second 7.000445: 94750776.960498 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 8.000524: 94751205.010631 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 9.000607: 94750934.223182 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 10.000650: 94750525.591693 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 11.000731: 94751037.693540 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 12.000816: 94750669.227492 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 13.000862: 94750272.808814 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 14.000911: 94754077.063663 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 15.000942: 94755864.341800 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 16.001005: 94742859.417112 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 17.001054: 94749967.917316 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 18.001101: 94318359.954190 bit/s, bytes received: 11790345 B, packets received: 9720
[client] second 19.001139: 94755095.346949 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 20.001161: 94746806.689324 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 21.001226: 94758338.254643 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 22.001288: 94743021.322634 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 23.001332: 94754508.554625 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 24.001447: 94747859.720090 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 25.001479: 94751491.931821 bit/s, bytes received: 11844315 B, packets received: 9759
[client] second 26.001529: 94754047.488768 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 27.001649: 94747382.153559 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 28.001732: 94750842.806825 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 29.001764: 94751530.483299 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 30.001858: 94749859.384876 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 31.001950: 94749984.537923 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 32.002028: 94761187.455573 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 33.002069: 94740900.055038 bit/s, bytes received: 11843097 B, packets received: 9759
[client] second 34.002126: 90877429.355261 bit/s, bytes received: 11360328 B, packets received: 9365
[client] second 35.002165: 89056805.242023 bit/s, bytes received: 11132531 B, packets received: 9173
[client] second 36.002222: 90951801.630985 bit/s, bytes received: 11369630 B, packets received: 9368
[client] second 37.002252: 92933586.366269 bit/s, bytes received: 11617041 B, packets received: 9572
[client] second 38.002339: 94451917.379287 bit/s, bytes received: 11807523 B, packets received: 9729
[client] second 39.002368: 94687226.848914 bit/s, bytes received: 11836249 B, packets received: 9754
[client] second 40.002447: 94751358.295165 bit/s, bytes received: 11844847 B, packets received: 9759
[client] total: bytes received: 468076517 B, packets received: 385764
