Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 111943, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.147675 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220318 s
[client] second 1.000040: 47193879.723129 bit/s, bytes received: 5899467 B, packets received: 6769
[client] second 2.000084: 112663778.456628 bit/s, bytes received: 14083593 B, packets received: 9768
[client] second 3.000126: 94754717.479564 bit/s, bytes received: 11844831 B, packets received: 9760
[client] second 4.000187: 94752883.222393 bit/s, bytes received: 11844840 B, packets received: 9761
[client] second 5.000260: 94751913.051952 bit/s, bytes received: 11844850 B, packets received: 9759
[client] second 6.000333: 94747632.123187 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 7.000377: 94754529.683949 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 8.000471: 94749775.728633 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 9.000579: 94748601.137221 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 10.000622: 94760327.809805 bit/s, bytes received: 11845551 B, packets received: 9760
[client] second 11.000704: 94741095.165958 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 12.000790: 94750610.308117 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 13.000887: 94749606.512080 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 14.000934: 94750099.518781 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 15.000973: 94754987.614631 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 16.001090: 94747696.299142 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 17.001193: 94754700.949416 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 18.001223: 94310112.810413 bit/s, bytes received: 11789118 B, packets received: 9718
[client] second 19.001300: 94741582.571310 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 20.001382: 94750932.339028 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 21.001452: 94752132.833215 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 22.001494: 94750641.182515 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 23.001569: 94761456.936100 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 24.001648: 94741355.588524 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 25.001736: 94750381.884458 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 26.001838: 94754741.974016 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 27.001867: 94755918.759022 bit/s, bytes received: 11844829 B, packets received: 9760
[client] second 28.001943: 94741799.789971 bit/s, bytes received: 11843629 B, packets received: 9760
[client] second 29.002058: 94753470.417403 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 30.002099: 94754889.926171 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 31.002164: 94742805.412618 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 32.002227: 94752649.305709 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 33.002289: 94748787.878752 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 34.002375: 94750656.342505 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 35.002428: 94753648.324340 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 36.002540: 94748090.413660 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 37.002576: 92139648.392748 bit/s, bytes received: 11517871 B, packets received: 9495
[client] second 38.002618: 91907650.804015 bit/s, bytes received: 11488946 B, packets received: 9467
[client] second 39.002641: 93933810.199745 bit/s, bytes received: 11741987 B, packets received: 9675
[client] second 40.002662: 94746785.102661 bit/s, bytes received: 11843602 B, packets received: 9759
[client] total: bytes received: 469240205 B, packets received: 386723
