Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1354441, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.147823 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220793 s
[client] second 0.100294: 6402025.420253 bit/s, bytes received: 80260 B, packets received: 73
[client] second 0.200553: 13297554.679237 bit/s, bytes received: 166650 B, packets received: 138
[client] second 0.300766: 33292307.926886 bit/s, bytes received: 417039 B, packets received: 344
[client] second 0.400784: 51298359.037283 bit/s, bytes received: 641348 B, packets received: 532
[client] second 0.500876: 89241681.945129 bit/s, bytes received: 1116552 B, packets received: 926
[client] second 0.600966: 53993455.745001 bit/s, bytes received: 675521 B, packets received: 982
[client] second 0.701837: 126494324.246781 bit/s, bytes received: 1594950 B, packets received: 924
[client] second 0.801920: 68394793.932316 bit/s, bytes received: 855649 B, packets received: 903
[client] second 0.901951: 14251794.010341 bit/s, bytes received: 178203 B, packets received: 980
[client] second 1.001977: 13958237.778279 bit/s, bytes received: 174522 B, packets received: 983
[client] second 1.102000: 275509114.848362 bit/s, bytes received: 3444675 B, packets received: 987
[client] second 1.202063: 94704516.888087 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 1.302109: 94720608.845947 bit/s, bytes received: 1184553 B, packets received: 976
[client] second 1.402133: 94742416.687688 bit/s, bytes received: 1184559 B, packets received: 977
[client] second 1.502150: 94747021.288681 bit/s, bytes received: 1184543 B, packets received: 976
[client] second 1.602169: 94845665.962664 bit/s, bytes received: 1185796 B, packets received: 976
[client] second 1.702230: 94649599.587515 bit/s, bytes received: 1183841 B, packets received: 976
[client] second 1.802264: 94731985.847571 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 1.902337: 94793919.863668 bit/s, bytes received: 1185790 B, packets received: 977
[client] second 2.002396: 94709116.838661 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.102420: 94741484.346919 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.202528: 94759454.563114 bit/s, bytes received: 1185776 B, packets received: 977
[client] second 2.302646: 94750644.737920 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.402709: 94802795.735192 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.502729: 94746134.306014 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.602790: 94706602.900835 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.702809: 94844209.454055 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 2.802884: 94693064.779671 bit/s, bytes received: 1184561 B, packets received: 976
[client] second 2.902970: 94724840.442784 bit/s, bytes received: 1185070 B, packets received: 977
[client] second 3.002984: 94751211.987785 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.103000: 94749190.323158 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.203024: 94839450.358750 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 3.303127: 94667180.642027 bit/s, bytes received: 1184563 B, packets received: 977
[client] second 3.403151: 94839450.358750 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 3.503249: 94672174.629736 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.603355: 94761484.011048 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.703428: 94793265.548608 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.803446: 94748082.073694 bit/s, bytes received: 1184554 B, packets received: 976
[client] second 3.903530: 94782297.967212 bit/s, bytes received: 1185781 B, packets received: 977
[client] second 4.003623: 94677110.064974 bit/s, bytes received: 1184558 B, packets received: 977
[client] second 4.103743: 94789354.935954 bit/s, bytes received: 1186297 B, packets received: 977
[client] second 4.203765: 94743411.957414 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 4.303816: 94717167.030256 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 4.403843: 94737734.283483 bit/s, bytes received: 1184544 B, packets received: 976
[client] second 4.503864: 94842444.298527 bit/s, bytes received: 1185786 B, packets received: 976
[client] second 4.604030: 94705667.303136 bit/s, bytes received: 1185781 B, packets received: 977
[client] second 4.704089: 94708394.578628 bit/s, bytes received: 1184558 B, packets received: 976
[client] second 4.804111: 94842347.531322 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 4.904138: 94640958.116044 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 5.004244: 94762206.275679 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 5.104266: 94841120.549747 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.204279: 94752208.641459 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.304328: 94661295.458303 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 5.404344: 94748033.721363 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 5.504364: 94746532.164412 bit/s, bytes received: 1184556 B, packets received: 976
