Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 116598, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148572 s
[server][session 0][stream 0] open
[client] time to first byte: 0.221371 s
[client] second 1.000117: 46891747.578181 bit/s, bytes received: 5862152 B, packets received: 6773
[client] second 2.000141: 112974377.765858 bit/s, bytes received: 14122135 B, packets received: 9768
[client] second 3.000184: 94744770.291698 bit/s, bytes received: 11843604 B, packets received: 9760
[client] second 4.000234: 94754032.071493 bit/s, bytes received: 11844843 B, packets received: 9760
[client] second 5.000255: 94746930.426003 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 6.000291: 94751155.944081 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 7.000373: 94751026.882017 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 8.000454: 94751089.991910 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 9.000539: 94750604.528824 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 10.000588: 94749985.445208 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 11.000630: 94754770.526340 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 12.000660: 94746073.757371 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 13.000713: 94759375.045313 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 14.000790: 94741529.046473 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 15.000874: 94760736.429711 bit/s, bytes received: 11846074 B, packets received: 9761
[client] second 16.000964: 94740259.057205 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 17.000998: 94751430.523769 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 18.001113: 94311876.786666 bit/s, bytes received: 11790345 B, packets received: 9719
[client] second 19.001147: 94755519.456502 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 20.001181: 94745703.211198 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 21.001265: 94760598.866780 bit/s, bytes received: 11846065 B, packets received: 9760
[client] second 22.001359: 94745563.891336 bit/s, bytes received: 11844315 B, packets received: 9759
[client] second 23.001393: 94755587.663986 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 24.001469: 94741702.611138 bit/s, bytes received: 11843609 B, packets received: 9760
[client] second 25.001519: 94749888.498139 bit/s, bytes received: 11844335 B, packets received: 9758
[client] second 26.001554: 94755417.313595 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 27.001580: 94756256.066881 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 28.001666: 94740769.376265 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 29.001708: 94750705.989295 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 30.001794: 94750502.964966 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 31.001887: 94759778.298261 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 32.001963: 94741669.158518 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 33.002010: 94759945.280377 bit/s, bytes received: 11845551 B, packets received: 9760
[client] second 34.002151: 94745369.915620 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 35.002180: 94755958.715835 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 36.002255: 94741776.398038 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 37.002297: 94750630.949873 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 38.002386: 94750335.934581 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 39.002467: 94751072.737786 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 40.002509: 94750589.640343 bit/s, bytes received: 11844324 B, packets received: 9760
[client] total: bytes received: 470023678 B, packets received: 387366
