Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1342404, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148001 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220762 s
[client] second 0.100242: 6405388.443244 bit/s, bytes received: 80260 B, packets received: 73
[client] second 0.200362: 13217879.806670 bit/s, bytes received: 165423 B, packets received: 137
[client] second 0.300797: 33511877.287920 bit/s, bytes received: 420720 B, packets received: 346
[client] second 0.400828: 51193849.975305 bit/s, bytes received: 640122 B, packets received: 532
[client] second 0.500855: 89300296.956848 bit/s, bytes received: 1116555 B, packets received: 927
[client] second 0.600882: 53732485.067250 bit/s, bytes received: 671836 B, packets received: 979
[client] second 0.700969: 127680339.235277 bit/s, bytes received: 1597404 B, packets received: 926
[client] second 0.800991: 68437075.313994 bit/s, bytes received: 855649 B, packets received: 892
[client] second 0.901035: 13072550.691203 bit/s, bytes received: 163479 B, packets received: 980
[client] second 1.001070: 14210245.878295 bit/s, bytes received: 177691 B, packets received: 987
[client] second 1.101097: 275442709.516867 bit/s, bytes received: 3443967 B, packets received: 986
[client] second 1.201131: 94732106.116803 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 1.301163: 94832186.465392 bit/s, bytes received: 1185780 B, packets received: 976
[client] second 1.401224: 94707002.046291 bit/s, bytes received: 1184566 B, packets received: 976
[client] second 1.501280: 94711243.120246 bit/s, bytes received: 1184546 B, packets received: 977
[client] second 1.601298: 94747131.142575 bit/s, bytes received: 1184559 B, packets received: 976
[client] second 1.701381: 94784626.565259 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 1.801402: 94743787.956710 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 1.901489: 94724107.986401 bit/s, bytes received: 1185068 B, packets received: 978
[client] second 2.001511: 94841487.503042 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.101529: 94746564.980502 bit/s, bytes received: 1184546 B, packets received: 976
[client] second 2.201612: 94686285.668404 bit/s, bytes received: 1184559 B, packets received: 976
[client] second 2.301654: 94724819.665254 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.401676: 94841012.455520 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.501701: 94740988.024609 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.601782: 94687561.506286 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.701802: 94745523.315695 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.801850: 94817621.541468 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.901929: 94787406.287755 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.001984: 94712043.372484 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 3.102048: 94744906.589333 bit/s, bytes received: 1185075 B, packets received: 977
[client] second 3.202066: 94747316.523612 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.302112: 94720948.894325 bit/s, bytes received: 1184549 B, packets received: 977
[client] second 3.402173: 94804424.395156 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.502230: 94710885.950967 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.602252: 94743548.307872 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.702271: 94844670.728684 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.802315: 94722117.507766 bit/s, bytes received: 1184554 B, packets received: 976
[client] second 3.902381: 94702909.850190 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.002417: 94828073.185787 bit/s, bytes received: 1185780 B, packets received: 976
[client] second 4.102523: 94663787.576410 bit/s, bytes received: 1184559 B, packets received: 977
[client] second 4.202536: 94850628.116455 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.302591: 94655261.287215 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 4.402610: 94746718.780097 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.502633: 94742269.610984 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 4.602650: 94846494.281279 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.702808: 94712482.829722 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 4.802834: 94739970.769562 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.902885: 94716063.989570 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.002906: 94744866.865110 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 5.102930: 94742078.235601 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 5.202962: 94733328.839478 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.303064: 94766275.723545 bit/s, bytes received: 1185780 B, packets received: 977
[client] second 5.403086: 94743675.534790 bit/s, bytes received: 1184559 B, packets received: 976
[client] second 5.503110: 94840280.455480 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.603162: 94657820.370562 bit/s, bytes received: 1183843 B, packets received: 977
[client] second 5.703179: 94845403.621413 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 5.803193: 94654379.030261 bit/s, bytes received: 1183338 B, packets received: 975
[client] second 5.903210: 94747507.012647 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 6.003230: 94745966.568787 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 6.103306: 94790321.078876 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 6.203359: 94713721.022630 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 6.303474: 94754130.412476 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.403491: 94748616.239183 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 6.503568: 94789616.922811 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 6.603620: 94813071.726102 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 6.703634: 94653042.071258 bit/s, bytes received: 1183329 B, packets received: 975
[client] second 6.803692: 94750823.601368 bit/s, bytes received: 1185070 B, packets received: 978
[client] second 6.903702: 94754700.367375 bit/s, bytes received: 1184556 B, packets received: 975
[client] second 7.003717: 94750818.826942 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 7.103795: 94787217.246216 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 7.203851: 94712164.788657 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 7.303873: 94743661.975154 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 7.403975: 94765746.762223 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 7.503999: 94839824.383448 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 7.604082: 94685807.456301 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 7.704128: 94721128.034121 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 7.804145: 94748056.371909 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 7.904166: 94745027.898322 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 8.004181: 94847663.447707 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 8.104202: 94687658.228240 bit/s, bytes received: 1183852 B, packets received: 976
[client] second 8.204242: 94727103.526761 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 8.304266: 94740910.387233 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 8.404284: 94845743.230843 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 8.504304: 94745549.839142 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 8.604405: 94668350.916429 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 8.704425: 94745283.658078 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 8.804453: 94836679.407379 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 8.904474: 94744173.481298 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.004563: 94680242.987814 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 9.104585: 94744154.536527 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.204599: 94750808.405855 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.304679: 94828008.541936 bit/s, bytes received: 1186297 B, packets received: 977
[client] second 9.404762: 94685758.260582 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.504783: 94743900.730968 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 9.604809: 94837989.709715 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 9.704827: 94747865.961704 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.804926: 94670689.747667 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 9.904953: 94837116.486840 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 10.004977: 94741526.023075 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 10.105282: 94671759.544370 bit/s, bytes received: 1187010 B, packets received: 979
[client] second 10.205302: 94745909.801679 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 10.305405: 94765139.938123 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 10.405424: 94745729.820069 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 10.505495: 94738812.926439 bit/s, bytes received: 1185070 B, packets received: 977
[client] second 10.605604: 94759211.268493 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 10.705625: 94841840.085617 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 10.805646: 94745311.064301 bit/s, bytes received: 1184565 B, packets received: 976
[client] second 10.905714: 94699533.829162 bit/s, bytes received: 1184547 B, packets received: 976
[client] second 11.005722: 94756616.148426 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 11.105773: 94716365.033727 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 11.205861: 94779178.403290 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 11.305911: 94717826.734442 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 11.405934: 94840297.522710 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 11.506042: 94662191.822005 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 11.606054: 94752297.814533 bit/s, bytes received: 1184547 B, packets received: 975
[client] second 11.706076: 94744095.752671 bit/s, bytes received: 1184565 B, packets received: 977
[client] second 11.806126: 94758745.590655 bit/s, bytes received: 1185070 B, packets received: 976
[client] second 11.906151: 94838873.378331 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 12.006257: 94664312.850643 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 12.106274: 94747932.357900 bit/s, bytes received: 1184547 B, packets received: 977
[client] second 12.206352: 94787632.650531 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 12.306408: 94808728.243271 bit/s, bytes received: 1185768 B, packets received: 977
[client] second 12.406427: 94748191.378835 bit/s, bytes received: 1184571 B, packets received: 976
[client] second 12.506436: 94755428.961426 bit/s, bytes received: 1184556 B, packets received: 976
