Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1352985, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148467 s
[server][session 0][stream 0] open
[client] time to first byte: 0.221388 s
[client] second 0.100287: 6402495.840616 bit/s, bytes received: 80260 B, packets received: 73
[client] second 0.200384: 13417066.687132 bit/s, bytes received: 167877 B, packets received: 139
[client] second 0.300855: 33206878.316831 bit/s, bytes received: 417039 B, packets received: 343
[client] second 0.400887: 51389201.730584 bit/s, bytes received: 642576 B, packets received: 534
[client] second 0.500929: 89329077.418164 bit/s, bytes received: 1117080 B, packets received: 927
[client] second 0.601037: 53744970.708948 bit/s, bytes received: 672538 B, packets received: 983
[client] second 0.701780: 126752195.985446 bit/s, bytes received: 1596177 B, packets received: 919
[client] second 0.801801: 68241186.096673 bit/s, bytes received: 853195 B, packets received: 904
[client] second 0.901873: 13853743.615567 bit/s, bytes received: 173295 B, packets received: 980
[client] second 1.001961: 11555271.629592 bit/s, bytes received: 144569 B, packets received: 989
[client] second 1.101988: 278582050.964240 bit/s, bytes received: 3483224 B, packets received: 985
[client] second 1.202069: 94687566.346668 bit/s, bytes received: 1184546 B, packets received: 976
[client] second 1.302091: 94743531.556603 bit/s, bytes received: 1184559 B, packets received: 976
[client] second 1.402141: 94717229.362960 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 1.502165: 94741580.656154 bit/s, bytes received: 1184553 B, packets received: 976
[client] second 1.602227: 94747232.327322 bit/s, bytes received: 1185071 B, packets received: 976
[client] second 1.702244: 94845780.214109 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 1.802263: 94649040.871099 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 1.902279: 94846295.021358 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 2.002360: 94687663.663824 bit/s, bytes received: 1184558 B, packets received: 976
[client] second 2.102377: 94748567.925503 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.202415: 94728250.933649 bit/s, bytes received: 1184551 B, packets received: 976
[client] second 2.302441: 94740683.229503 bit/s, bytes received: 1184561 B, packets received: 977
[client] second 2.402460: 94844108.409658 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.502558: 94671647.822295 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.602677: 94750326.752680 bit/s, bytes received: 1185783 B, packets received: 978
[client] second 2.702696: 94746091.678527 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.802730: 94830600.533304 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 2.902760: 94679076.996544 bit/s, bytes received: 1183841 B, packets received: 977
[client] second 3.002782: 94742512.929204 bit/s, bytes received: 1184549 B, packets received: 976
[client] second 3.102840: 94807907.395061 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.202885: 94819849.698228 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.302909: 94742029.928588 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.403011: 94668160.826449 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.503087: 94790271.419382 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.603198: 94758150.187788 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 3.703237: 94727057.128811 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.803249: 94752555.522706 bit/s, bytes received: 1184554 B, packets received: 976
[client] second 3.903276: 94739144.857882 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.003295: 94844280.044269 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.103346: 94659431.576088 bit/s, bytes received: 1183843 B, packets received: 976
[client] second 4.203370: 94741383.945422 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.303471: 94766716.409028 bit/s, bytes received: 1185774 B, packets received: 976
[client] second 4.403498: 94738878.712805 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.503524: 94739931.936236 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 4.603552: 94835397.583690 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.703641: 94680565.561548 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.803708: 94798879.221824 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 4.903784: 94692774.843178 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 5.003854: 94796497.639702 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 5.103914: 94707507.751637 bit/s, bytes received: 1184556 B, packets received: 977
