Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 113173, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148091 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220605 s
[client] second 1.000101: 47177063.894556 bit/s, bytes received: 5897725 B, packets received: 6765
[client] second 2.000162: 112656204.360897 bit/s, bytes received: 14082881 B, packets received: 9770
[client] second 3.000208: 94754239.938004 bit/s, bytes received: 11844831 B, packets received: 9760
[client] second 4.000271: 94752956.489418 bit/s, bytes received: 11844843 B, packets received: 9760
[client] second 5.000376: 94748649.548582 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 6.000435: 94749122.512154 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 7.000512: 94761144.361090 bit/s, bytes received: 11846065 B, packets received: 9761
[client] second 8.000589: 94741590.528990 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 9.000673: 94750761.980552 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 10.000718: 94750330.509135 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 11.000797: 94751244.139798 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 12.000887: 94750254.730591 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 13.000931: 94750303.800981 bit/s, bytes received: 11844315 B, packets received: 9759
[client] second 14.001032: 94749264.500334 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 15.001103: 94752021.981121 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 16.001252: 94754357.174299 bit/s, bytes received: 11846056 B, packets received: 9761
[client] second 17.001329: 94747365.136727 bit/s, bytes received: 11844333 B, packets received: 9760
[client] second 18.001350: 94291367.806287 bit/s, bytes received: 11786664 B, packets received: 9715
[client] second 19.001428: 94741414.797201 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 20.001510: 94751087.328268 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 21.001549: 94750821.012075 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 22.001611: 94752877.550807 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 23.001632: 94756728.686120 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 24.001706: 94751752.442930 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 25.001731: 94742325.493918 bit/s, bytes received: 11843088 B, packets received: 9759
[client] second 26.001915: 94751214.900518 bit/s, bytes received: 11846083 B, packets received: 9760
[client] second 27.002003: 94750348.356045 bit/s, bytes received: 11844829 B, packets received: 9761
[client] second 28.002108: 82127925.648493 bit/s, bytes received: 10267075 B, packets received: 8464
[client] second 29.002216: 83352821.069280 bit/s, bytes received: 10420224 B, packets received: 8587
[client] second 30.002261: 85185964.161220 bit/s, bytes received: 10648725 B, packets received: 8774
[client] second 31.002349: 87391329.375618 bit/s, bytes received: 10924880 B, packets received: 9001
[client] second 32.002432: 88994005.192745 bit/s, bytes received: 11125178 B, packets received: 9168
[client] second 33.002458: 90846695.081579 bit/s, bytes received: 11356133 B, packets received: 9356
[client] second 34.002528: 92763063.434872 bit/s, bytes received: 11596191 B, packets received: 9555
[client] second 35.002592: 94424649.149849 bit/s, bytes received: 11803833 B, packets received: 9726
[client] second 36.002707: 94747917.320188 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 37.002750: 94750494.704358 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 38.002831: 94751010.596944 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 39.002884: 94753721.457483 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 40.002973: 94750314.712385 bit/s, bytes received: 11844838 B, packets received: 9760
[client] total: bytes received: 463406283 B, packets received: 381916
