Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 112290, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148287 s
[server][session 0][stream 0] open
[client] time to first byte: 0.221023 s
[client] second 1.000098: 47030006.569461 bit/s, bytes received: 5879323 B, packets received: 6770
[client] second 2.000177: 112811156.073499 bit/s, bytes received: 14102510 B, packets received: 9768
[client] second 3.000236: 94753115.244295 bit/s, bytes received: 11844835 B, packets received: 9760
[client] second 4.000321: 94750650.519903 bit/s, bytes received: 11844839 B, packets received: 9760
[client] second 5.000346: 94756376.768540 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 6.000383: 94741255.983375 bit/s, bytes received: 11843097 B, packets received: 9759
[client] second 7.000411: 94756077.645796 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 8.000498: 94750454.930643 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 9.000519: 94746900.202390 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 10.000556: 94751129.888465 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 11.000598: 94754766.844683 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 12.000624: 94746401.475440 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 13.000718: 94755537.635647 bit/s, bytes received: 11845560 B, packets received: 9759
[client] second 14.000743: 94746536.011990 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 15.000831: 94750378.757970 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 16.000878: 94754264.004697 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 17.000907: 94751961.958301 bit/s, bytes received: 11844333 B, packets received: 9759
[client] second 18.000993: 94324392.604346 bit/s, bytes received: 11791572 B, packets received: 9720
[client] second 19.001015: 94756778.906128 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 20.001051: 94745376.073145 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 21.001131: 94751162.849700 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 22.001212: 94746968.272249 bit/s, bytes received: 11844333 B, packets received: 9760
[client] second 23.001287: 94751547.142566 bit/s, bytes received: 11844829 B, packets received: 9760
[client] second 24.001372: 94750785.382016 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 25.001466: 94755454.083366 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 26.001496: 94755847.679728 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 27.001536: 94745106.343825 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 28.001559: 94756493.899536 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 29.001647: 94746355.881545 bit/s, bytes received: 11844333 B, packets received: 9759
[client] second 30.001682: 94755470.185314 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 31.001730: 94744328.139286 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 32.001764: 94745644.667092 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 33.001855: 94755807.015397 bit/s, bytes received: 11845551 B, packets received: 9760
[client] second 34.001971: 94747718.096834 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 35.002025: 94753634.288789 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 36.002104: 94751262.046376 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 37.002162: 94749069.550481 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 38.002197: 94755374.864660 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 39.002246: 94744368.782633 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 40.002282: 94760869.647388 bit/s, bytes received: 11845542 B, packets received: 9760
[client] total: bytes received: 470021215 B, packets received: 387363
