Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 1352194, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.147538 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220352 s
[client] second 0.100246: 6405120.648959 bit/s, bytes received: 80260 B, packets received: 73
[client] second 0.200484: 13300077.685477 bit/s, bytes received: 166648 B, packets received: 137
[client] second 0.300606: 33420742.559163 bit/s, bytes received: 418268 B, packets received: 345
[client] second 0.400673: 50979530.889302 bit/s, bytes received: 637670 B, packets received: 530
[client] second 0.500763: 89341721.745013 bit/s, bytes received: 1117780 B, packets received: 927
[client] second 0.600793: 54122990.838598 bit/s, bytes received: 676744 B, packets received: 983
[client] second 0.700959: 127287593.989504 bit/s, bytes received: 1593723 B, packets received: 922
[client] second 0.801024: 68407280.145268 bit/s, bytes received: 855649 B, packets received: 897
[client] second 0.901070: 13562814.511905 bit/s, bytes received: 169614 B, packets received: 980
[client] second 1.001125: 13128384.066840 bit/s, bytes received: 164194 B, packets received: 984
[client] second 1.101199: 276391054.958906 bit/s, bytes received: 3457457 B, packets received: 988
[client] second 1.201264: 94703725.020273 bit/s, bytes received: 1184563 B, packets received: 977
[client] second 1.301296: 94831123.328101 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 1.401330: 94634876.615896 bit/s, bytes received: 1183329 B, packets received: 976
[client] second 1.501348: 94844761.719663 bit/s, bytes received: 1185780 B, packets received: 976
[client] second 1.601432: 94684699.653204 bit/s, bytes received: 1184552 B, packets received: 976
[client] second 1.701503: 94697551.558461 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 1.801561: 94849592.081180 bit/s, bytes received: 1186302 B, packets received: 978
[client] second 1.901637: 94692176.841451 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.001683: 94818814.743825 bit/s, bytes received: 1185783 B, packets received: 977
[client] second 2.101708: 94740378.047825 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.201719: 94754176.430855 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 2.301819: 94669003.909990 bit/s, bytes received: 1184549 B, packets received: 977
[client] second 2.401844: 94742417.405572 bit/s, bytes received: 1184563 B, packets received: 976
[client] second 2.501913: 94795956.028832 bit/s, bytes received: 1185776 B, packets received: 976
[client] second 2.601955: 94724609.464630 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 2.702066: 94855850.538406 bit/s, bytes received: 1187010 B, packets received: 977
[client] second 2.802080: 94651650.162377 bit/s, bytes received: 1183316 B, packets received: 976
[client] second 2.902107: 94837967.074373 bit/s, bytes received: 1185789 B, packets received: 976
[client] second 3.002141: 94674961.279447 bit/s, bytes received: 1183848 B, packets received: 976
[client] second 3.102156: 94751149.460782 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.202177: 94842844.401517 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.302191: 94751216.724683 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.402262: 94696897.665043 bit/s, bytes received: 1184556 B, packets received: 976
[client] second 3.502303: 94725528.862532 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 3.602315: 94851347.947027 bit/s, bytes received: 1185783 B, packets received: 976
[client] second 3.702448: 94736021.407834 bit/s, bytes received: 1185776 B, packets received: 977
[client] second 3.802505: 94710487.506006 bit/s, bytes received: 1184554 B, packets received: 976
[client] second 3.902555: 94716583.717946 bit/s, bytes received: 1184556 B, packets received: 977
[client] second 4.002628: 94793195.880918 bit/s, bytes received: 1185774 B, packets received: 976
