Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 111589, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148673 s
[server][session 0][stream 0] open
[client] time to first byte: 0.221362 s
[client] second 1.000075: 46942744.408538 bit/s, bytes received: 5868280 B, packets received: 6766
[client] second 2.000135: 112901618.741232 bit/s, bytes received: 14113546 B, packets received: 9770
[client] second 3.000184: 94754075.169015 bit/s, bytes received: 11844845 B, packets received: 9760
[client] second 4.000236: 94753820.388589 bit/s, bytes received: 11844845 B, packets received: 9760
[client] second 5.000261: 94756284.792069 bit/s, bytes received: 11844829 B, packets received: 9759
[client] second 6.000292: 94751646.645064 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 7.000327: 94745685.210136 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 8.000355: 94756123.397082 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 9.000381: 94746373.052274 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 10.000457: 94757295.801649 bit/s, bytes received: 11845551 B, packets received: 9760
[client] second 11.000493: 94745360.724966 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 12.000520: 94746461.535809 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 13.000553: 94751459.043007 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 14.000657: 94748870.554683 bit/s, bytes received: 11844835 B, packets received: 9760
[client] second 15.000794: 94755525.727831 bit/s, bytes received: 11846068 B, packets received: 9760
[client] second 16.000826: 94745907.286867 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 17.000850: 94752330.451377 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 18.000871: 94310874.118443 bit/s, bytes received: 11789109 B, packets received: 9717
[client] second 19.000948: 94741733.760023 bit/s, bytes received: 11843629 B, packets received: 9760
[client] second 20.000990: 94754712.078735 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 21.001040: 94749882.457092 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 22.001105: 94752544.421345 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 23.001189: 94750708.461466 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 24.001216: 94746519.613894 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 25.001253: 94760842.907568 bit/s, bytes received: 11845551 B, packets received: 9759
[client] second 26.001285: 94745848.174207 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 27.001364: 94751329.114040 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 28.001387: 94746710.720588 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 29.001431: 94750374.281839 bit/s, bytes received: 11844324 B, packets received: 9758
[client] second 30.001491: 94753059.832160 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 31.001605: 94747947.360284 bit/s, bytes received: 11844838 B, packets received: 9761
[client] second 32.001692: 94750440.719314 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 33.001735: 94750555.721077 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 34.001774: 94755007.972353 bit/s, bytes received: 11844847 B, packets received: 9759
[client] second 35.001836: 94752898.584657 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 36.001915: 94747056.103399 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 37.002018: 94749096.432308 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 38.002094: 94751465.461796 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 39.002176: 94750881.556720 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 40.002216: 94750814.285034 bit/s, bytes received: 11844324 B, packets received: 9759
[client] total: bytes received: 470018770 B, packets received: 387358
