Bandwidth: 100 Mbit/s
RTT: 72 ms
BDP: 900000 B/s
Max In-Flight Packets: 703
[server] starting server with pid 117960, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 0.148307 s
[server][session 0][stream 0] open
[client] time to first byte: 0.220931 s
[client] second 1.000029: 46944917.092236 bit/s, bytes received: 5868280 B, packets received: 6769
[client] second 2.000131: 112887102.207882 bit/s, bytes received: 14112326 B, packets received: 9767
[client] second 3.000226: 94759435.128676 bit/s, bytes received: 11846065 B, packets received: 9761
[client] second 4.000276: 94754035.671603 bit/s, bytes received: 11844836 B, packets received: 9760
[client] second 5.000378: 94739233.882589 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 6.000425: 94750165.072662 bit/s, bytes received: 11844333 B, packets received: 9760
[client] second 7.000505: 94760925.403937 bit/s, bytes received: 11846056 B, packets received: 9760
[client] second 8.000583: 94751317.460543 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 9.000626: 94744866.832263 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 10.000720: 94745732.231833 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 11.000794: 94751731.398274 bit/s, bytes received: 11844847 B, packets received: 9760
[client] second 12.000871: 94751452.197606 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 13.000923: 94749594.622131 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 14.001075: 94754198.660906 bit/s, bytes received: 11846065 B, packets received: 9761
[client] second 15.001108: 94745785.826683 bit/s, bytes received: 11843620 B, packets received: 9760
[client] second 16.001152: 94754530.441952 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 17.001224: 93762331.244796 bit/s, bytes received: 11721128 B, packets received: 9760
[client] second 18.001262: 95294860.300953 bit/s, bytes received: 11912314 B, packets received: 9718
[client] second 19.001297: 94755342.269967 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 20.001319: 94756664.362800 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 21.001393: 94741901.917791 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 22.001433: 94750837.498064 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 23.001466: 94755524.383624 bit/s, bytes received: 11844838 B, packets received: 9759
[client] second 24.001481: 94747484.410766 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 25.001522: 94750825.170318 bit/s, bytes received: 11844333 B, packets received: 9759
[client] second 26.001598: 94751545.994458 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 27.001678: 94760863.701256 bit/s, bytes received: 11846065 B, packets received: 9761
[client] second 28.001723: 94744765.459744 bit/s, bytes received: 11843620 B, packets received: 9759
[client] second 29.001768: 94750285.978503 bit/s, bytes received: 11844324 B, packets received: 9759
[client] second 30.001792: 94746603.754130 bit/s, bytes received: 11843611 B, packets received: 9760
[client] second 31.001876: 94760662.048757 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 32.001927: 94744059.369014 bit/s, bytes received: 11843611 B, packets received: 9759
[client] second 33.001988: 94748728.095967 bit/s, bytes received: 11844324 B, packets received: 9760
[client] second 34.002077: 94750354.504011 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 35.002219: 94755097.358055 bit/s, bytes received: 11846074 B, packets received: 9760
[client] second 36.002264: 94754417.797268 bit/s, bytes received: 11844829 B, packets received: 9760
[client] second 37.002349: 94746562.789895 bit/s, bytes received: 11844333 B, packets received: 9759
[client] second 38.002429: 94751149.680338 bit/s, bytes received: 11844838 B, packets received: 9760
[client] second 39.002541: 94748134.742239 bit/s, bytes received: 11844847 B, packets received: 9761
[client] second 40.002582: 94750704.473346 bit/s, bytes received: 11844324 B, packets received: 9759
[client] total: bytes received: 470022451 B, packets received: 387363
