Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 877255, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 877257, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.004980 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:40113
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.012327 s
[client] second 0.100611: 3026529.795484 bit/s, bytes received: 38062 B, packets received: 49
[client] second 0.201066: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301123: 78595.331915 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.401596: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502268: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.602656: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.703238: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.803822: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.904404: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.004643: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.105256: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.206027: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.306615: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:56032
[client] second 1.406842: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.507082: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.607789: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.708340: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.809026: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.909625: 0.000000 bit/s, bytes received: 0 B, packets received: 0
