Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 881016, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 881018, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.005614 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:41461
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.012976 s
[client] second 0.100517: 3029335.475246 bit/s, bytes received: 38062 B, packets received: 49
[client] second 0.201496: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301909: 78316.599434 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.402319: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502938: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.603351: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.703691: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.803946: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.904512: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.004873: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.105525: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.205941: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.306592: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:54821
[client] second 1.407150: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.507480: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.607712: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.707944: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.808411: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.908711: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.009639: 972570.557685 bit/s, bytes received: 12270 B, packets received: 10
[client] second 2.110765: 291202.391863 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.211654: 389179.003876 bit/s, bytes received: 4908 B, packets received: 4
