Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 889400, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 889404, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.005499 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:32965
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.064097 s
[client] second 0.100789: 3021160.446047 bit/s, bytes received: 38062 B, packets received: 49
[client] second 0.201193: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.302182: 77869.580177 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.402595: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.503066: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.603492: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.704174: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.804874: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.905582: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.005827: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.106438: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.206663: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:40745
[client] second 1.307154: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.407916: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.508351: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.608873: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.709287: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.809518: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.909760: 0.000000 bit/s, bytes received: 0 B, packets received: 0
