Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 878130, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 878131, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.004794 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:45861
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.062824 s
[client] second 7.437728: 1169216.724850 bit/s, bytes received: 14724 B, packets received: 12
[client] second 7.538727: 1263460.956276 bit/s, bytes received: 15951 B, packets received: 13
[client] second 7.639508: 1266188.560291 bit/s, bytes received: 15951 B, packets received: 13
[client] second 7.740499: 1303558.825107 bit/s, bytes received: 16456 B, packets received: 14
[client] second 7.841149: 1365367.975432 bit/s, bytes received: 17178 B, packets received: 14
[client] second 7.941207: 1373439.902585 bit/s, bytes received: 17178 B, packets received: 14
[client] second 8.041801: 1365648.539310 bit/s, bytes received: 17172 B, packets received: 14
[client] second 8.141935: 1412593.382656 bit/s, bytes received: 17681 B, packets received: 15
[client] second 8.242461: 1562332.320547 bit/s, bytes received: 19632 B, packets received: 16
[client] second 8.343206: 1461514.653476 bit/s, bytes received: 18405 B, packets received: 15
[client] second 8.443348: 1609309.260919 bit/s, bytes received: 20145 B, packets received: 17
[client] second 8.544029: 1657436.536694 bit/s, bytes received: 20859 B, packets received: 17
[client] second 8.644315: 1761206.928512 bit/s, bytes received: 22078 B, packets received: 18
[client] second 8.744497: 1706658.523598 bit/s, bytes received: 21372 B, packets received: 18
[client] second 8.844530: 1864407.071088 bit/s, bytes received: 23313 B, packets received: 19
[client] second 8.944998: 1856357.315618 bit/s, bytes received: 23313 B, packets received: 19
[client] second 9.045204: 1999483.782706 bit/s, bytes received: 25045 B, packets received: 21
[client] second 9.146034: 1947035.535749 bit/s, bytes received: 24540 B, packets received: 20
[client] second 9.246175: 2155846.486850 bit/s, bytes received: 26986 B, packets received: 22
[client] second 9.346351: 2098707.806318 bit/s, bytes received: 26280 B, packets received: 22
[client] second 9.447183: 2239047.009038 bit/s, bytes received: 28221 B, packets received: 23
[client] second 9.548188: 2372410.606354 bit/s, bytes received: 29953 B, packets received: 25
[client] second 9.648854: 2339618.584753 bit/s, bytes received: 29440 B, packets received: 24
[client] second 9.749835: 1401528.135855 bit/s, bytes received: 17691 B, packets received: 16
[client] second 9.850041: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.950249: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.050460: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.150506: 3727660.522291 bit/s, bytes received: 46617 B, packets received: 38
[client] second 10.250881: 2876946.908735 bit/s, bytes received: 36097 B, packets received: 30
[client] second 10.351679: 3018092.852348 bit/s, bytes received: 38027 B, packets received: 31
[client] second 10.452076: 823210.250047 bit/s, bytes received: 10331 B, packets received: 10
[client] second 10.552523: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.652741: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.752838: 2352837.535835 bit/s, bytes received: 29439 B, packets received: 24
[client] second 10.852966: 3570293.351240 bit/s, bytes received: 44686 B, packets received: 37
[client] second 10.953394: 3713420.353014 bit/s, bytes received: 46616 B, packets received: 38
[client] second 11.053636: 824483.414474 bit/s, bytes received: 10331 B, packets received: 10
[client] second 11.153846: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 11.254626: 1069580.534055 bit/s, bytes received: 13474 B, packets received: 11
[client] second 11.354750: 4159827.687795 bit/s, bytes received: 52062 B, packets received: 43
[client] second 11.455161: 4300364.133907 bit/s, bytes received: 53976 B, packets received: 44
[client] second 11.555650: 4339179.330269 bit/s, bytes received: 54505 B, packets received: 46
[client] second 11.656266: 4624489.515279 bit/s, bytes received: 58162 B, packets received: 47
[client] second 11.756713: 4731869.662449 bit/s, bytes received: 59413 B, packets received: 49
[client] second 11.857338: 4722594.387490 bit/s, bytes received: 59401 B, packets received: 49
[client] second 11.957370: 4750541.442143 bit/s, bytes received: 59401 B, packets received: 49
[client] second 12.057596: 4643441.146365 bit/s, bytes received: 58174 B, packets received: 48
[client] second 12.158092: 4923933.320008 bit/s, bytes received: 61855 B, packets received: 51
[client] second 12.258560: 5023106.362926 bit/s, bytes received: 63082 B, packets received: 53
[client] second 12.359007: 4926349.658927 bit/s, bytes received: 61855 B, packets received: 50
[client] second 12.459679: 5166976.980834 bit/s, bytes received: 65021 B, packets received: 54
[client] second 12.560501: 5435708.905945 bit/s, bytes received: 68505 B, packets received: 57
[client] second 12.661052: 5409423.611354 bit/s, bytes received: 67990 B, packets received: 56
[client] second 12.761355: 4835571.921201 bit/s, bytes received: 60628 B, packets received: 50
[client] second 12.861912: 0.000000 bit/s, bytes received: 0 B, packets received: 1
[client] second 12.962114: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.062315: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.162516: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.262704: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.362905: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.463106: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 13.563334: 6699977.519345 bit/s, bytes received: 83941 B, packets received: 69
[client] second 13.663583: 7187608.049484 bit/s, bytes received: 90069 B, packets received: 74
[client] second 13.764228: 7005541.194779 bit/s, bytes received: 88134 B, packets received: 73
[client] second 13.864706: 0.000000 bit/s, bytes received: 0 B, packets received: 1
[client] second 13.964963: 3622037.599626 bit/s, bytes received: 45392 B, packets received: 37
[client] second 14.065412: 8289591.917988 bit/s, bytes received: 104085 B, packets received: 86
[client] second 14.166298: 8504941.890714 bit/s, bytes received: 107254 B, packets received: 88
[client] second 14.267060: 8847216.667697 bit/s, bytes received: 111432 B, packets received: 92
[client] second 14.367100: 9304750.469917 bit/s, bytes received: 116356 B, packets received: 96
[client] second 14.467470: 9469069.144800 bit/s, bytes received: 118802 B, packets received: 98
[client] second 14.568196: 9825533.148203 bit/s, bytes received: 123710 B, packets received: 102
[client] second 14.668780: 10034509.733135 bit/s, bytes received: 126164 B, packets received: 105
[client] second 14.768871: 10574255.342102 bit/s, bytes received: 132299 B, packets received: 109
[client] second 14.868955: 10673127.913962 bit/s, bytes received: 133526 B, packets received: 110
[client] second 14.969571: 10616636.188045 bit/s, bytes received: 133526 B, packets received: 109
[client] second 15.070195: 10615841.079525 bit/s, bytes received: 133526 B, packets received: 111
[client] second 15.170971: 10697272.170987 bit/s, bytes received: 134753 B, packets received: 111
[client] second 15.271721: 10602587.103194 bit/s, bytes received: 133526 B, packets received: 110
[client] second 15.371746: 10679425.949063 bit/s, bytes received: 133526 B, packets received: 110
[client] second 15.471990: 3761286.025278 bit/s, bytes received: 47131 B, packets received: 39
[client] second 15.572171: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 15.672350: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 15.772530: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 15.872710: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 15.972893: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 16.073073: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 16.173995: 1166450.308895 bit/s, bytes received: 14715 B, packets received: 12
[client] second 16.274600: 13642433.237887 bit/s, bytes received: 171562 B, packets received: 141
[client] second 16.374856: 14122649.895185 bit/s, bytes received: 176986 B, packets received: 147
[client] second 16.475161: 12842874.055760 bit/s, bytes received: 161025 B, packets received: 132
[client] second 16.576179: 0.000000 bit/s, bytes received: 0 B, packets received: 1
[client] second 16.676458: 10456650.671295 bit/s, bytes received: 131072 B, packets received: 109
[client] second 16.776630: 16583523.007546 bit/s, bytes received: 207651 B, packets received: 171
[client] second 16.876702: 17285910.583885 bit/s, bytes received: 216230 B, packets received: 177
[client] second 16.977351: 17871155.856761 bit/s, bytes received: 224839 B, packets received: 186
[client] second 17.077987: 18595697.073525 bit/s, bytes received: 233923 B, packets received: 193
[client] second 17.178819: 19338098.230984 bit/s, bytes received: 243739 B, packets received: 200
[client] second 17.279523: 19809301.541472 bit/s, bytes received: 249359 B, packets received: 206
[client] second 17.379578: 20666552.135889 bit/s, bytes received: 258473 B, packets received: 213
[client] second 17.480273: 21119190.580257 bit/s, bytes received: 265825 B, packets received: 219
[client] second 17.580897: 21174153.857700 bit/s, bytes received: 266330 B, packets received: 219
[client] second 17.681483: 21044527.277519 bit/s, bytes received: 264598 B, packets received: 219
[client] second 17.782265: 21198472.737087 bit/s, bytes received: 267052 B, packets received: 219
[client] second 17.882757: 21064224.238402 bit/s, bytes received: 264598 B, packets received: 219
[client] second 17.982816: 21253518.658633 bit/s, bytes received: 265825 B, packets received: 218
[client] second 18.082865: 21157390.364899 bit/s, bytes received: 264598 B, packets received: 219
[client] second 18.183039: 3665954.290332 bit/s, bytes received: 45904 B, packets received: 38
[client] second 18.283214: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.383386: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.483606: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.583834: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.684063: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.784290: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 18.884535: 6405137.708915 bit/s, bytes received: 80260 B, packets received: 67
[client] second 18.985104: 27334691.121544 bit/s, bytes received: 343631 B, packets received: 282
[client] second 19.085936: 28333803.341203 bit/s, bytes received: 357118 B, packets received: 295
[client] second 19.186776: 21227040.126712 bit/s, bytes received: 267567 B, packets received: 221
[client] second 19.286958: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 19.387297: 27006446.404465 bit/s, bytes received: 338723 B, packets received: 280
[client] second 19.487323: 33411496.650895 bit/s, bytes received: 417756 B, packets received: 344
[client] second 19.587743: 34591878.892574 bit/s, bytes received: 434212 B, packets received: 357
[client] second 19.688256: 35927219.582695 bit/s, bytes received: 451390 B, packets received: 372
[client] second 19.788370: 37540442.381225 bit/s, bytes received: 469795 B, packets received: 387
[client] second 19.888646: 38361126.081722 bit/s, bytes received: 480838 B, packets received: 396
[client] second 19.988667: 40068918.543093 bit/s, bytes received: 500968 B, packets received: 413
[client] second 20.088765: 41314226.010974 bit/s, bytes received: 516933 B, packets received: 427
[client] second 20.189274: 41925878.875132 bit/s, bytes received: 526742 B, packets received: 433
[client] second 20.289721: 42147067.657526 bit/s, bytes received: 529196 B, packets received: 437
[client] second 20.389822: 42195318.352350 bit/s, bytes received: 527969 B, packets received: 435
[client] second 20.490162: 42094068.046445 bit/s, bytes received: 527969 B, packets received: 434
[client] second 20.590180: 42230324.375030 bit/s, bytes received: 527969 B, packets received: 435
[client] second 20.690411: 42237876.928835 bit/s, bytes received: 529196 B, packets received: 436
[client] second 20.790446: 42026295.794459 bit/s, bytes received: 525515 B, packets received: 433
[client] second 20.890645: 2783345.845622 bit/s, bytes received: 34861 B, packets received: 30
[client] second 20.990852: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.091058: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.191241: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.291472: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.391656: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.491881: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 21.591959: 20325143.421014 bit/s, bytes received: 254264 B, packets received: 209
[client] second 21.691987: 54516461.323855 bit/s, bytes received: 681645 B, packets received: 563
[client] second 21.792079: 57030137.642792 bit/s, bytes received: 713534 B, packets received: 588
[client] second 21.892584: 35636715.741485 bit/s, bytes received: 447709 B, packets received: 369
[client] second 21.992812: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.093040: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.193267: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.293493: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.393719: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.493946: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.594173: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.694401: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.794628: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 22.894816: 26753213.776098 bit/s, bytes received: 335042 B, packets received: 276
[client] second 22.994838: 61486461.843232 bit/s, bytes received: 768749 B, packets received: 634
[client] second 23.094859: 61134518.960758 bit/s, bytes received: 764346 B, packets received: 630
[client] second 23.195126: 61376628.531706 bit/s, bytes received: 769254 B, packets received: 633
[client] second 23.295603: 61207764.932656 bit/s, bytes received: 768749 B, packets received: 635
[client] second 23.395619: 61530914.384427 bit/s, bytes received: 769254 B, packets received: 633
[client] second 23.495666: 61118748.218156 bit/s, bytes received: 764346 B, packets received: 630
[client] second 23.595727: 61601229.120738 bit/s, bytes received: 770481 B, packets received: 636
[client] second 23.695777: 61272102.490011 bit/s, bytes received: 766288 B, packets received: 631
[client] second 23.796064: 61266952.465411 bit/s, bytes received: 768034 B, packets received: 632
[client] second 23.896114: 61214998.659375 bit/s, bytes received: 765573 B, packets received: 631
