Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 873553, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 873554, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.005532 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:41400
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.012667 s
[client] second 0.100247: 3037477.235580 bit/s, bytes received: 38062 B, packets received: 49
[client] second 0.200864: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301672: 78010.639028 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.402009: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502622: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.603243: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.703827: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.804249: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.904855: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.005113: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.105703: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.206388: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.307000: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:45678
[client] second 1.407255: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.507505: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.608103: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.708645: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.808932: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.909164: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.009552: 977810.436983 bit/s, bytes received: 12270 B, packets received: 10
[client] second 2.110468: 291805.685516 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.210822: 391254.937957 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.311637: 292099.305948 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.412002: 351118.120410 bit/s, bytes received: 4405 B, packets received: 4
[client] second 2.512604: 390294.102172 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.613223: 292666.544437 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.714272: 388562.299009 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.815235: 388894.752970 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.915997: 292255.068012 bit/s, bytes received: 3681 B, packets received: 3
[client] second 3.016846: 389333.333598 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.117316: 293102.643266 bit/s, bytes received: 3681 B, packets received: 3
[client] second 3.218243: 194516.131314 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.318559: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.418837: 195774.841461 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.518903: 195470.944218 bit/s, bytes received: 2445 B, packets received: 2
[client] second 3.619138: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.719372: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.819600: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.919828: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.020172: 978237.065528 bit/s, bytes received: 12270 B, packets received: 10
[client] second 4.121018: 389345.124060 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.222092: 485583.079911 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.322471: 432121.602302 bit/s, bytes received: 5422 B, packets received: 5
[client] second 4.422902: 488696.951314 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.523205: 488520.174687 bit/s, bytes received: 6125 B, packets received: 5
[client] second 4.623974: 487052.201497 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.724108: 588173.788097 bit/s, bytes received: 7362 B, packets received: 6
[client] second 4.824815: 487352.318619 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.925421: 585413.221311 bit/s, bytes received: 7362 B, packets received: 6
[client] second 5.026074: 585137.890999 bit/s, bytes received: 7362 B, packets received: 6
[client] second 5.126152: 685706.129779 bit/s, bytes received: 8578 B, packets received: 7
[client] second 5.226586: 628315.210559 bit/s, bytes received: 7888 B, packets received: 7
[client] second 5.326615: 588786.037277 bit/s, bytes received: 7362 B, packets received: 6
[client] second 5.427398: 681781.345265 bit/s, bytes received: 8589 B, packets received: 7
[client] second 5.527841: 684091.029625 bit/s, bytes received: 8589 B, packets received: 7
[client] second 5.628343: 683686.696333 bit/s, bytes received: 8589 B, packets received: 7
[client] second 5.728594: 587484.456415 bit/s, bytes received: 7362 B, packets received: 6
[client] second 5.829398: 194755.857283 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.929666: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.030535: 1070457.138713 bit/s, bytes received: 13497 B, packets received: 12
[client] second 6.130885: 822806.037249 bit/s, bytes received: 10321 B, packets received: 8
[client] second 6.231010: 686259.650002 bit/s, bytes received: 8589 B, packets received: 8
[client] second 6.331930: 874835.086531 bit/s, bytes received: 11036 B, packets received: 8
[client] second 6.431953: 785099.937329 bit/s, bytes received: 9816 B, packets received: 8
[client] second 6.532416: 879363.245612 bit/s, bytes received: 11043 B, packets received: 9
[client] second 6.633046: 877911.998842 bit/s, bytes received: 11043 B, packets received: 9
[client] second 6.733428: 920885.082936 bit/s, bytes received: 11555 B, packets received: 10
[client] second 6.833785: 978107.335203 bit/s, bytes received: 12270 B, packets received: 10
[client] second 6.934066: 978850.916777 bit/s, bytes received: 12270 B, packets received: 10
[client] second 7.034565: 1073837.128520 bit/s, bytes received: 13490 B, packets received: 11
[client] second 7.135601: 1068684.770872 bit/s, bytes received: 13497 B, packets received: 11
[client] second 7.235626: 1078929.631024 bit/s, bytes received: 13490 B, packets received: 11
[client] second 7.336441: 1209591.697930 bit/s, bytes received: 15243 B, packets received: 13
[client] second 7.436880: 1172768.742304 bit/s, bytes received: 14724 B, packets received: 12
[client] second 7.537242: 1271475.047960 bit/s, bytes received: 15951 B, packets received: 13
[client] second 7.637713: 1270092.668851 bit/s, bytes received: 15951 B, packets received: 13
[client] second 7.738070: 1311799.303316 bit/s, bytes received: 16456 B, packets received: 14
[client] second 7.838878: 1265858.056946 bit/s, bytes received: 15951 B, packets received: 13
[client] second 7.938945: 1373307.935904 bit/s, bytes received: 17178 B, packets received: 14
[client] second 8.039007: 1372752.051058 bit/s, bytes received: 17170 B, packets received: 14
[client] second 8.139269: 1508855.324083 bit/s, bytes received: 18910 B, packets received: 16
[client] second 8.239576: 1467882.401086 bit/s, bytes received: 18405 B, packets received: 15
[client] second 8.340480: 1556491.434263 bit/s, bytes received: 19632 B, packets received: 16
[client] second 8.440537: 1610693.018761 bit/s, bytes received: 20145 B, packets received: 17
[client] second 8.540632: 1569071.077074 bit/s, bytes received: 19632 B, packets received: 16
[client] second 8.641626: 1748918.869371 bit/s, bytes received: 22079 B, packets received: 18
[client] second 8.741664: 1709047.088592 bit/s, bytes received: 21371 B, packets received: 18
[client] second 8.842393: 1851538.856390 bit/s, bytes received: 23313 B, packets received: 19
[client] second 8.942722: 1858920.730383 bit/s, bytes received: 23313 B, packets received: 19
[client] second 9.043490: 1988327.892060 bit/s, bytes received: 25045 B, packets received: 21
[client] second 9.144029: 2050315.585539 bit/s, bytes received: 25767 B, packets received: 21
[client] second 9.244307: 2055000.768461 bit/s, bytes received: 25759 B, packets received: 21
[client] second 9.344974: 2185976.910832 bit/s, bytes received: 27507 B, packets received: 23
[client] second 9.445303: 2250288.679301 bit/s, bytes received: 28221 B, packets received: 23
[client] second 9.546067: 2280655.744499 bit/s, bytes received: 28726 B, packets received: 24
[client] second 9.646161: 2451047.608155 bit/s, bytes received: 30667 B, packets received: 25
[client] second 9.747222: 1400422.081880 bit/s, bytes received: 17691 B, packets received: 16
[client] second 9.847433: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.947644: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.047853: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.148635: 3505637.622621 bit/s, bytes received: 44163 B, packets received: 36
[client] second 10.249142: 2970860.441047 bit/s, bytes received: 37324 B, packets received: 31
[client] second 10.349996: 3016490.303656 bit/s, bytes received: 38028 B, packets received: 31
[client] second 10.450223: 922467.364335 bit/s, bytes received: 11557 B, packets received: 11
