Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 857996, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 4.006349 s
[server][session 0][stream 0] open
[client] time to first byte: 6.058099 s
[client] second 0.100426: 176529.314386 bit/s, bytes received: 2216 B, packets received: 13
[client] second 0.200503: 196489.004095 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.300781: 196096.786409 bit/s, bytes received: 2458 B, packets received: 1
[client] second 0.401770: 292066.705437 bit/s, bytes received: 3687 B, packets received: 3
[client] second 0.502779: 194675.600545 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.603887: 194486.380350 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.704249: 195770.428126 bit/s, bytes received: 2456 B, packets received: 2
[client] second 0.804630: 195576.171016 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.905194: 195217.427586 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.005803: 195133.678945 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.106495: 194969.678997 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.207221: 194905.521901 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.307566: 195644.332515 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.408722: 194078.262158 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.508801: 196164.408276 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.609844: 97145.940161 bit/s, bytes received: 1227 B, packets received: 1
[client] second 1.710071: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.810296: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.910513: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.010724: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.110959: 391719.975129 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.211999: 388597.778704 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.312523: 390593.124075 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.412933: 391037.808608 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.512991: 392410.945807 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.613213: 351219.250144 bit/s, bytes received: 4400 B, packets received: 4
[client] second 2.713654: 293189.041739 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.814095: 195457.549427 bit/s, bytes received: 2454 B, packets received: 2
[client] second 2.915026: 194508.898470 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.015973: 194082.558314 bit/s, bytes received: 2449 B, packets received: 2
[client] second 3.116961: 194398.907231 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.217821: 194646.924043 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.318856: 194307.029692 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.419343: 195370.314669 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.520264: 194528.376148 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.620337: 196176.590988 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.720572: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.820803: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.921033: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.021262: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.121497: 391721.280412 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.222367: 389253.587212 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.323049: 389979.970023 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.423511: 390436.134303 bit/s, bytes received: 4903 B, packets received: 4
[client] second 4.524575: 388503.482981 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.625032: 390855.109332 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.726010: 194417.891176 bit/s, bytes received: 2454 B, packets received: 2
[client] second 4.826497: 293054.763325 bit/s, bytes received: 3681 B, packets received: 3
[client] second 4.927393: 235410.213646 bit/s, bytes received: 2969 B, packets received: 3
[client] second 5.027438: 196231.003353 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.128521: 194217.390873 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.229559: 194301.852718 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.330470: 194152.422753 bit/s, bytes received: 2449 B, packets received: 2
[client] second 5.430875: 195528.169572 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.531902: 194323.104685 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.631949: 196229.228284 bit/s, bytes received: 2454 B, packets received: 2
