Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 855901, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 4.005519 s
[server][session 0][stream 0] open
[client] time to first byte: 6.006609 s
[client] second 0.100378: 1077612.862757 bit/s, bytes received: 13521 B, packets received: 19
[client] second 0.200566: 196272.299549 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.300789: 196042.061639 bit/s, bytes received: 2456 B, packets received: 2
[client] second 0.400996: 195915.655556 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.501828: 194699.355662 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.602425: 195154.168513 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.702993: 195210.478300 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.803223: 195870.963857 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.904138: 194539.438878 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.004728: 195168.517457 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.105208: 195381.411147 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.205426: 97945.978243 bit/s, bytes received: 1227 B, packets received: 1
[client] second 1.305648: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.406203: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.506571: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.606812: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.707043: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.807273: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.907496: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.008510: 971747.673837 bit/s, bytes received: 12270 B, packets received: 10
[client] second 2.109552: 194297.656726 bit/s, bytes received: 2454 B, packets received: 2
[client] second 2.210143: 292746.332797 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.310841: 292440.267154 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.411002: 294007.635572 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.511069: 332255.050041 bit/s, bytes received: 4156 B, packets received: 4
[client] second 2.611476: 293287.761785 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.712399: 389048.864999 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.812879: 293071.154209 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.913214: 391332.163995 bit/s, bytes received: 4908 B, packets received: 5
[client] second 3.014058: 389353.791701 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.114906: 389338.124593 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.215622: 389849.484678 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.316389: 389648.353971 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.417255: 389270.868419 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.517821: 390428.647280 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.618820: 291567.269222 bit/s, bytes received: 3681 B, packets received: 3
[client] second 3.719030: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.819241: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.919472: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.020479: 1011816.812526 bit/s, bytes received: 12775 B, packets received: 11
[client] second 4.121211: 487234.786134 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.221852: 487671.862972 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.322834: 485549.529285 bit/s, bytes received: 6129 B, packets received: 5
[client] second 4.422886: 490548.172190 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.523283: 488856.794243 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.624211: 486290.019920 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.724400: 489873.619593 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.824804: 488823.612810 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.925780: 582871.310074 bit/s, bytes received: 7357 B, packets received: 6
[client] second 5.026804: 291495.153754 bit/s, bytes received: 3681 B, packets received: 3
[client] second 5.127282: 529550.585741 bit/s, bytes received: 6651 B, packets received: 6
[client] second 5.228039: 389688.793243 bit/s, bytes received: 4908 B, packets received: 4
[client] second 5.328984: 388966.383652 bit/s, bytes received: 4908 B, packets received: 4
[client] second 5.429972: 388795.546865 bit/s, bytes received: 4908 B, packets received: 4
[client] second 5.530570: 390306.746271 bit/s, bytes received: 4908 B, packets received: 4
[client] second 5.631270: 292434.470592 bit/s, bytes received: 3681 B, packets received: 3
[client] second 5.731502: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.831715: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.931928: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.032915: 1068089.624309 bit/s, bytes received: 13483 B, packets received: 11
[client] second 6.133779: 389278.911380 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.234488: 389874.027019 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.335371: 583808.294628 bit/s, bytes received: 7362 B, packets received: 6
[client] second 6.435794: 586476.559146 bit/s, bytes received: 7362 B, packets received: 6
[client] second 6.536016: 433197.564970 bit/s, bytes received: 5427 B, packets received: 5
[client] second 6.636617: 585444.191019 bit/s, bytes received: 7362 B, packets received: 6
[client] second 6.736889: 489467.400529 bit/s, bytes received: 6135 B, packets received: 5
[client] second 6.837599: 584331.926987 bit/s, bytes received: 7356 B, packets received: 6
[client] second 6.938311: 389862.785160 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.039157: 389345.853748 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.139936: 486529.714585 bit/s, bytes received: 6129 B, packets received: 5
[client] second 7.240738: 389517.483729 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.341723: 388810.126935 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.442778: 388540.478330 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.543161: 391142.923927 bit/s, bytes received: 4908 B, packets received: 4
[client] second 7.643550: 293338.540537 bit/s, bytes received: 3681 B, packets received: 3
[client] second 7.744414: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 7.844626: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 7.944838: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 8.045585: 1112808.500081 bit/s, bytes received: 14014 B, packets received: 12
[client] second 8.146537: 388934.569792 bit/s, bytes received: 4908 B, packets received: 4
[client] second 8.247240: 584374.471308 bit/s, bytes received: 7356 B, packets received: 6
[client] second 8.347863: 390210.126424 bit/s, bytes received: 4908 B, packets received: 4
[client] second 8.448599: 584655.450857 bit/s, bytes received: 7362 B, packets received: 6
[client] second 8.549204: 389801.680344 bit/s, bytes received: 4902 B, packets received: 4
[client] second 8.650244: 582894.625852 bit/s, bytes received: 7362 B, packets received: 6
[client] second 8.750426: 685876.834520 bit/s, bytes received: 8589 B, packets received: 7
[client] second 8.851216: 486951.201011 bit/s, bytes received: 6135 B, packets received: 5
[client] second 8.952021: 430535.592030 bit/s, bytes received: 5425 B, packets received: 5
[client] second 9.052541: 292954.276550 bit/s, bytes received: 3681 B, packets received: 3
[client] second 9.153246: 584361.913938 bit/s, bytes received: 7356 B, packets received: 6
[client] second 9.253883: 390157.253823 bit/s, bytes received: 4908 B, packets received: 4
[client] second 9.354415: 390560.701691 bit/s, bytes received: 4908 B, packets received: 4
[client] second 9.454675: 391623.732498 bit/s, bytes received: 4908 B, packets received: 4
[client] second 9.555507: 584096.531909 bit/s, bytes received: 7362 B, packets received: 6
[client] second 9.655593: 98075.700993 bit/s, bytes received: 1227 B, packets received: 1
[client] second 9.756217: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.856435: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.956651: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.057283: 975431.585250 bit/s, bytes received: 12270 B, packets received: 10
[client] second 10.158084: 389519.489258 bit/s, bytes received: 4908 B, packets received: 4
[client] second 10.259106: 582527.760470 bit/s, bytes received: 7356 B, packets received: 6
[client] second 10.359173: 433711.382423 bit/s, bytes received: 5425 B, packets received: 5
[client] second 10.460086: 583629.993250 bit/s, bytes received: 7362 B, packets received: 6
