Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 862750, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 4.005277 s
[server][session 0][stream 0] open
[client] time to first byte: 6.056578 s
[client] second 0.100169: 176982.225636 bit/s, bytes received: 2216 B, packets received: 12
[client] second 0.200222: 196535.038497 bit/s, bytes received: 2458 B, packets received: 3
[client] second 0.301329: 291730.410164 bit/s, bytes received: 3687 B, packets received: 2
[client] second 0.402478: 194406.956162 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.502622: 196357.057335 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.603736: 194473.683737 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.704693: 194619.920114 bit/s, bytes received: 2456 B, packets received: 2
[client] second 0.805595: 194562.030879 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.905626: 196258.859478 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.006696: 194243.261764 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.107710: 194349.373152 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.207800: 196143.227877 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.308723: 194524.445992 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.409523: 194762.009099 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.510287: 194831.127798 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.610450: 98000.199894 bit/s, bytes received: 1227 B, packets received: 1
[client] second 1.710749: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.811120: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.911366: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.011908: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.112927: 388677.425870 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.212995: 392370.547374 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.313977: 388821.774067 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.414656: 389994.096750 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.515225: 390420.199584 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.616125: 348858.020702 bit/s, bytes received: 4400 B, packets received: 4
[client] second 2.716197: 294267.156566 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.816751: 195239.697752 bit/s, bytes received: 2454 B, packets received: 2
[client] second 2.917273: 195299.283917 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.017982: 194540.426294 bit/s, bytes received: 2449 B, packets received: 2
[client] second 3.118810: 194708.132093 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.219339: 195288.443478 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.319816: 195387.423642 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.420470: 195045.204051 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.520774: 195722.947150 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.620793: 196283.866103 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.721025: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.821256: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.921487: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.021719: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.122591: 389245.772967 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.222665: 392348.230239 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.322846: 391931.951414 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.423302: 390299.970633 bit/s, bytes received: 4901 B, packets received: 4
[client] second 4.523504: 391846.014177 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.623959: 390862.536979 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.724308: 195637.820701 bit/s, bytes received: 2454 B, packets received: 2
[client] second 4.825047: 292318.622415 bit/s, bytes received: 3681 B, packets received: 3
[client] second 4.925787: 235935.209579 bit/s, bytes received: 2971 B, packets received: 3
[client] second 5.026341: 195236.699885 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.127126: 194792.018294 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.228196: 194241.199603 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.328385: 195390.512633 bit/s, bytes received: 2447 B, packets received: 2
[client] second 5.429085: 194955.529643 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.529242: 196011.984807 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.629535: 195746.759530 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.729765: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.829995: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.930223: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.030494: 195789.941806 bit/s, bytes received: 2454 B, packets received: 2
[client] second 6.130563: 392367.865420 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.231455: 389170.008429 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.332475: 388675.502105 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.433092: 390233.779492 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.534101: 194357.679352 bit/s, bytes received: 2454 B, packets received: 2
[client] second 6.635238: 485283.333040 bit/s, bytes received: 6135 B, packets received: 5
[client] second 6.735769: 194804.652234 bit/s, bytes received: 2448 B, packets received: 2
[client] second 6.836848: 291337.332540 bit/s, bytes received: 3681 B, packets received: 3
[client] second 6.937459: 195127.185563 bit/s, bytes received: 2454 B, packets received: 3
[client] second 7.037881: 195495.571715 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.138071: 195948.978447 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.238647: 195193.937884 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.338882: 237204.230488 bit/s, bytes received: 2972 B, packets received: 3
[client] second 7.439418: 195272.229750 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.539485: 196188.963429 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.640618: 194122.292990 bit/s, bytes received: 2454 B, packets received: 2
[client] second 7.740693: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 7.840961: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 7.941199: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 8.042008: 194743.110506 bit/s, bytes received: 2454 B, packets received: 2
[client] second 8.142920: 389094.042030 bit/s, bytes received: 4908 B, packets received: 4
[client] second 8.243107: 391427.568562 bit/s, bytes received: 4902 B, packets received: 4
[client] second 8.344111: 388737.299097 bit/s, bytes received: 4908 B, packets received: 4
[client] second 8.444708: 390309.171207 bit/s, bytes received: 4908 B, packets received: 4
[client] second 8.544766: 196206.425910 bit/s, bytes received: 2454 B, packets received: 2
[client] second 8.645561: 584312.617012 bit/s, bytes received: 7362 B, packets received: 6
[client] second 8.746566: 97183.234633 bit/s, bytes received: 1227 B, packets received: 1
[client] second 8.847295: 292348.768706 bit/s, bytes received: 3681 B, packets received: 3
[client] second 8.947901: 195138.221466 bit/s, bytes received: 2454 B, packets received: 2
[client] second 9.048166: 195801.113344 bit/s, bytes received: 2454 B, packets received: 2
[client] second 9.148224: 196205.343483 bit/s, bytes received: 2454 B, packets received: 2
[client] second 9.249038: 194261.121367 bit/s, bytes received: 2448 B, packets received: 2
[client] second 9.350031: 193913.577202 bit/s, bytes received: 2448 B, packets received: 2
[client] second 9.450250: 195889.745803 bit/s, bytes received: 2454 B, packets received: 2
[client] second 9.551044: 194772.729334 bit/s, bytes received: 2454 B, packets received: 2
[client] second 9.651469: 237154.139177 bit/s, bytes received: 2977 B, packets received: 3
[client] second 9.751540: 98090.081390 bit/s, bytes received: 1227 B, packets received: 1
[client] second 9.851750: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 9.951961: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 10.052161: 97963.722824 bit/s, bytes received: 1227 B, packets received: 1
[client] second 10.153055: 389164.322841 bit/s, bytes received: 4908 B, packets received: 4
[client] second 10.254066: 388708.647385 bit/s, bytes received: 4908 B, packets received: 4
[client] second 10.355076: 388714.700646 bit/s, bytes received: 4908 B, packets received: 4
[client] second 10.455379: 391453.270266 bit/s, bytes received: 4908 B, packets received: 4
[client] second 10.556160: 194797.669846 bit/s, bytes received: 2454 B, packets received: 2
[client] second 10.656750: 682612.368589 bit/s, bytes received: 8583 B, packets received: 7
[client] second 10.756780: 98130.753110 bit/s, bytes received: 1227 B, packets received: 1
[client] second 10.857493: 292397.045320 bit/s, bytes received: 3681 B, packets received: 3
[client] second 10.957969: 195388.903489 bit/s, bytes received: 2454 B, packets received: 2
[client] second 11.058926: 194459.113788 bit/s, bytes received: 2454 B, packets received: 2
[client] second 11.159821: 194579.374638 bit/s, bytes received: 2454 B, packets received: 2
[client] second 11.260203: 195572.136063 bit/s, bytes received: 2454 B, packets received: 2
[client] second 11.360555: 195630.784919 bit/s, bytes received: 2454 B, packets received: 2
[client] second 11.460907: 195632.974165 bit/s, bytes received: 2454 B, packets received: 2
