Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 858963, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 4.005732 s
[server][session 0][stream 0] open
[client] time to first byte: 6.057835 s
[client] second 0.101056: 272722.164809 bit/s, bytes received: 3445 B, packets received: 13
[client] second 0.202201: 194414.196579 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.302462: 196128.316911 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.402862: 195855.838270 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.503149: 196077.838953 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.603280: 196383.485855 bit/s, bytes received: 2458 B, packets received: 2
[client] second 0.704109: 194863.132898 bit/s, bytes received: 2456 B, packets received: 2
[client] second 0.804560: 195439.714120 bit/s, bytes received: 2454 B, packets received: 2
[client] second 0.905113: 195239.418154 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.005439: 195682.959994 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.106199: 194840.026334 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.206491: 195745.627520 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.306582: 196142.402861 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.407564: 194410.746494 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.507978: 195511.474030 bit/s, bytes received: 2454 B, packets received: 2
[client] second 1.608781: 97377.624346 bit/s, bytes received: 1227 B, packets received: 1
[client] second 1.709010: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.809228: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.909444: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.009663: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.109865: 391848.556042 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.210620: 389700.040542 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.311426: 389499.102607 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.412133: 389885.668292 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.512449: 391401.554599 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.613142: 349579.268440 bit/s, bytes received: 4400 B, packets received: 4
[client] second 2.713214: 294267.291831 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.813546: 195669.252982 bit/s, bytes received: 2454 B, packets received: 2
[client] second 2.914556: 194358.422077 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.015578: 193937.835084 bit/s, bytes received: 2449 B, packets received: 2
[client] second 3.116435: 194650.729843 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.216663: 195873.097899 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.317392: 194898.892774 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.417948: 195237.833783 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.518718: 194818.030909 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.619501: 194794.753187 bit/s, bytes received: 2454 B, packets received: 2
[client] second 3.719710: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.819921: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.920132: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.020342: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.121276: 389007.533236 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.221956: 389987.767292 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.322997: 388594.425046 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.423311: 391009.637345 bit/s, bytes received: 4903 B, packets received: 4
[client] second 4.523844: 390558.227010 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.623879: 392503.652081 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.724859: 194414.319732 bit/s, bytes received: 2454 B, packets received: 2
[client] second 4.825833: 291639.561905 bit/s, bytes received: 3681 B, packets received: 3
[client] second 4.926980: 234827.027136 bit/s, bytes received: 2969 B, packets received: 3
[client] second 5.028077: 194189.780826 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.129002: 194520.215324 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.229198: 195936.941320 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.330221: 193935.731053 bit/s, bytes received: 2449 B, packets received: 2
[client] second 5.430562: 195653.009109 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.531277: 194925.621012 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.632005: 194901.810618 bit/s, bytes received: 2454 B, packets received: 2
[client] second 5.732220: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.832431: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 5.932641: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 6.033207: 195216.033807 bit/s, bytes received: 2454 B, packets received: 2
[client] second 6.133736: 390574.252777 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.233945: 391820.667720 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.334154: 391821.414537 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.434439: 391524.257662 bit/s, bytes received: 4908 B, packets received: 4
[client] second 6.535203: 194831.034988 bit/s, bytes received: 2454 B, packets received: 2
